t,mean_diff,ci_lo,ci_hi,null_mu_mean,p_display,sig,frac_sig_sessions,p_meta,fdr_sig
-0.16499999999999998,0.00023492210468952025,-0.0004242123517233904,0.0008940565611024309,-2.9725843453563707e-05,0.3685623627044179,0,0.0,0.37775207494004803,0
-0.14500000000000002,0.0003862179584864521,-0.00028422549324250927,0.0010566614102154135,-2.6104876046685843e-05,0.3307298022943617,0,0.0,0.32771680758891525,0
-0.125,0.0007240129496577875,0.00012635063660509005,0.001321675262710485,-2.603863949276718e-05,0.23529411764705882,0,0.0,0.2255467809388799,0
-0.10500000000000002,0.0009566860699324634,0.00040983468508429006,0.0015035374547806366,-3.3248491671209935e-05,0.1972174762020991,0,0.0,0.19060232933797683,0
-0.08500000000000003,0.0012877513775187799,0.0007426498017994803,0.0018328529532380794,-4.8370270423182713e-05,0.1440078105931169,0,0.0,0.14048713484919462,0
-0.06500000000000004,0.0013301167750290632,0.0006762143072224853,0.001984019242835641,-4.52195722192505e-05,0.13863802782523799,0,0.0,0.12910108479259988,0
-0.045000000000000054,0.0016630933159732905,0.0010941389116319276,0.0022320477203146534,-3.7204372008672664e-05,0.07981449841347327,0,0.0,0.07947017475315049,0
-0.025000000000000064,0.0017469138782940986,0.0011745197341579896,0.002319308022430208,-3.914891629692514e-05,0.06956309494752258,0,0.0,0.07362025312541663,0
-0.005000000000000074,0.0024624022528811104,0.0018130716315834469,0.003111732874178774,-3.1582623906612155e-05,0.021967293141322917,1,0.0,0.021825766260653582,0
0.014999999999999916,0.003001958756041398,0.0020871838928347816,0.003916733619248014,1.54988083036613e-05,0.009275079326336344,1,0.14285714285714285,0.009976525356172444,0
0.034999999999999906,0.0041777683660869265,0.0027238341949533903,0.005631702537220463,0.0003341995986841267,0.002196729314132292,1,0.2857142857142857,0.5970523250443012,0
0.054999999999999896,0.005601440660505927,0.0032126534559361766,0.007990227865075677,0.0007929597722742968,0.001464486209421528,1,0.42857142857142855,0.7018054148586951,0
0.07499999999999989,0.007095168495080964,0.0036695948884767145,0.010520742101685214,0.001472444077823879,0.000732243104710764,1,0.42857142857142855,0.2153128412211235,0
0.0949999999999999,0.009222461711401593,0.004969153659748781,0.013475769763054406,0.002446984113372019,0.000244081034903588,1,0.42857142857142855,0.21047834296281884,0
0.11499999999999987,0.01142031387583026,0.007112998111167562,0.015727629640492957,0.003665979470179315,0.000732243104710764,1,0.42857142857142855,0.8227447933635574,0
0.13499999999999984,0.014084027535066096,0.010092540675499632,0.01807551439463256,0.004850128768515527,0.000244081034903588,1,0.42857142857142855,0.9878648576222852,0
0.15499999999999986,0.01631319355824145,0.012647639670356729,0.019978747446126172,0.006255880370864349,0.000488162069807176,1,0.42857142857142855,0.9915372731815023,0
0.17499999999999988,0.01831110445509354,0.014362043903605893,0.02226016500658119,0.007156849157837334,0.000488162069807176,1,0.42857142857142855,0.8499861382002816,0
0.19499999999999984,0.020832017483291197,0.016062746394629866,0.025601288571952527,0.008231393543524144,0.000488162069807176,1,0.2857142857142857,0.8219403246388173,0
0.2149999999999998,0.022536118316248577,0.016998412693836885,0.02807382393866027,0.008459229824785166,0.000488162069807176,1,0.2857142857142857,0.7827171224933265,0
0.23499999999999982,0.022293496335855985,0.015697209815449774,0.028889782856262196,0.007941852474993617,0.000488162069807176,1,0.42857142857142855,0.98847493532732,0
0.25499999999999984,0.020779060979190456,0.013522746037775271,0.02803537592060564,0.0071310100752613615,0.000732243104710764,1,0.42857142857142855,0.993016274748266,0
0.2749999999999998,0.019040886930664698,0.011675724788023445,0.026406049073305952,0.005974738250294366,0.000732243104710764,1,0.5714285714285714,0.9937622470198137,0
0.29499999999999976,0.016824133563219646,0.009823890171722405,0.023824376954716887,0.004832214487986893,0.000976324139614352,1,0.5714285714285714,0.9965374787452985,0
0.3149999999999998,0.014893702807686659,0.008409459433255483,0.021377946182117837,0.003624471021695454,0.000976324139614352,1,0.5714285714285714,0.9936375927886326,0
0.3349999999999998,0.012933357242020157,0.0071540833584485325,0.01871263112559178,0.0027975892702816764,0.00122040517451794,1,0.5714285714285714,0.9957309763889025,0
0.3549999999999998,0.01007442934842458,0.005247278189438651,0.01490158050741051,0.0016211312117940652,0.001708567244325116,1,0.42857142857142855,0.9976104998223524,0
0.3749999999999997,0.007797048013270626,0.003481899362626953,0.012112196663914299,0.0011901439555592078,0.00488162069807176,1,0.42857142857142855,0.9986128079374696,0
0.39499999999999974,0.0071689432835021554,0.0030754847615136064,0.011262401805490704,0.001215889812592375,0.007566512082011228,1,0.2857142857142857,0.9477495018902707,0
0.41499999999999976,0.006462168012732904,0.0027371980966451968,0.010187137928820611,0.001082180630268841,0.011227727605565048,1,0.2857142857142857,0.9670290765264629,0
0.43499999999999966,0.005725832617954093,0.0025797541439593554,0.008871911091948832,0.0010288496697192229,0.02172321210641933,1,0.2857142857142857,0.4645239694533885,0
0.4549999999999997,0.0051501835124121145,0.0024223157932043156,0.007878051231619913,0.0010760816198573503,0.034659506956309497,1,0.2857142857142857,0.5209907735818539,0
0.4749999999999997,0.0038462404528241444,0.0015214342530627178,0.006171046652585571,0.0008941805579692986,0.09323895533317061,0,0.2857142857142857,0.9909466214693449,0
0.4949999999999997,0.0025405226734819602,0.00020921259127765213,0.004871832755686268,0.0007081825932705877,0.1969733951671955,0,0.2857142857142857,0.9965589877900691,0
0.5149999999999997,0.0012053418044101333,-0.0015050258002813476,0.003915709409101614,0.00042967426061323987,0.3470832316329021,0,0.2857142857142857,0.998347489057726,0
0.5349999999999996,0.00033700952464588027,-0.0026813814761057894,0.00335540052539755,0.00017435526396536948,0.46863558701488894,0,0.2857142857142857,0.997520232793952,0
