t,R_mu,R_lo,R_hi,nR
-0.16499999999999998,0.009572201070659042,0.00614908579871516,0.012995316342602923,12.0
-0.14500000000000002,0.011460920883314568,0.007702287084175259,0.015219554682453878,12.0
-0.125,0.013462087020059646,0.009448018455493543,0.01747615558462575,12.0
-0.10500000000000002,0.015582576399797406,0.011267370858062785,0.01989778194153203,12.0
-0.08500000000000003,0.017603181255546746,0.012960284304220561,0.02224607820687293,12.0
-0.06500000000000004,0.019568092095527064,0.014584811181526242,0.024551373009527887,12.0
-0.045000000000000054,0.0196582388412284,0.01491328208013477,0.02440319560232203,12.0
-0.025000000000000064,0.019628948089544428,0.015301469202402072,0.023956426976686783,12.0
-0.005000000000000074,0.019695177932905584,0.01575410171384512,0.023636254151966046,12.0
0.014999999999999916,0.01961301283755152,0.015929205988631043,0.023296819686471997,12.0
0.034999999999999906,0.0196377921114082,0.016148964485592228,0.02312661973722417,12.0
0.054999999999999896,0.019667292439109134,0.016267255053038835,0.023067329825179433,12.0
0.07499999999999989,0.019782747954609645,0.016355990177228854,0.023209505731990435,12.0
0.0949999999999999,0.02007975508387759,0.01678912165787541,0.02337038850987977,12.0
0.11499999999999987,0.020545086987170738,0.01722857856290678,0.023861595411434695,12.0
0.13499999999999984,0.02095604589013503,0.01752028468746737,0.024391807092802694,12.0
0.15499999999999986,0.02130622167718529,0.01753304011737326,0.02507940323699732,12.0
0.17499999999999988,0.02160873314931803,0.016994011939057713,0.02622345435957835,12.0
0.19499999999999984,0.021784797572654346,0.016159545795279825,0.027410049350028866,12.0
0.2149999999999998,0.022206643866172476,0.01523188139507771,0.029181406337267242,12.0
0.23499999999999982,0.02269739624331414,0.014507624656847865,0.030887167829780418,12.0
0.25499999999999984,0.02320299864016294,0.01400097864805331,0.03240501863227257,12.0
0.2749999999999998,0.02339109122529773,0.013306016400141143,0.03347616605045432,12.0
0.29499999999999976,0.023185914918200438,0.012982429449453268,0.033389400386947606,12.0
0.3149999999999998,0.022874975372233892,0.01271740684283281,0.03303254390163497,12.0
0.3349999999999998,0.022895064130820746,0.013047092017446311,0.03274303624419518,12.0
0.3549999999999998,0.022982426992188238,0.013710591007378928,0.032254262976997544,12.0
0.3749999999999997,0.02293273858450128,0.014625448065831239,0.031240029103171318,12.0
0.39499999999999974,0.022876589557000112,0.01556103200507486,0.030192147108925364,12.0
0.41499999999999976,0.02252221875377874,0.016394209832369513,0.02865022767518797,12.0
0.43499999999999966,0.02205368252795932,0.01661840061828117,0.02748896443763747,12.0
0.4549999999999997,0.02170678565199254,0.016583759629369497,0.02682981167461558,12.0
0.4749999999999997,0.0214783369371979,0.016260255539192657,0.026696418335203143,12.0
0.4949999999999997,0.02170571311972055,0.015893280728685018,0.027518145510756084,12.0
0.5149999999999997,0.022220617007884125,0.015665361381493218,0.028775872634275033,12.0
0.5349999999999996,0.02266901977718205,0.015294607703691529,0.03004343185067257,12.0
0.5549999999999996,0.023433870524210032,0.01520944160560464,0.031658299442815424,12.0
0.5749999999999996,0.024337807050762005,0.015248031881448063,0.03342758222007595,12.0
0.5949999999999995,0.025285735142800664,0.015456056050617478,0.03511541423498385,12.0
0.6149999999999995,0.026491350291597975,0.015763892345098708,0.03721880823809724,12.0
0.6349999999999996,0.027919881541955436,0.01636962088205155,0.03947014220185932,12.0
0.6549999999999996,0.02584295588071696,0.01500343260422531,0.03668247915720861,12.0
0.6749999999999996,0.023766690358131216,0.013684889100098097,0.033848491616164336,12.0
0.6949999999999995,0.02132699397370015,0.012258171383061279,0.030395816564339023,12.0
0.7149999999999995,0.01863709287246065,0.010599107789951313,0.026675077954969987,12.0
