sid,A,B,median_dC,prop_B_after_A_C,median_dR,prop_B_after_A_R,thrC_used_A,thrC_used_B,thrR_used_A,thrR_used_B,hold_m,tmin,smooth_bins,auto_thr,auto_strategy,auto_targetC,auto_targetR
20200929,MFEF,MLIP,0.050000000000000044,0.29817444219066935,0.010000000000000009,0.16835699797160245,0.55,0.55,0.4,0.4,3,0.0,3,True,session,0.6,0.6
20200929,MFEF,MSC,0.3600000000000003,0.08113590263691683,0.010000000000000009,0.1663286004056795,0.55,0.55,0.4,0.4,3,0.0,3,True,session,0.6,0.6
20200929,MLIP,MFEF,-0.050000000000000044,0.07707910750507099,-0.010000000000000009,0.13387423935091278,0.55,0.55,0.4,0.4,3,0.0,3,True,session,0.6,0.6
20200929,MLIP,MSC,0.3100000000000003,0.04056795131845842,0.0,0.13184584178498987,0.55,0.55,0.4,0.4,3,0.0,3,True,session,0.6,0.6
20200929,MSC,MFEF,-0.3600000000000003,0.008113590263691683,-0.010000000000000009,0.1359026369168357,0.55,0.55,0.4,0.4,3,0.0,3,True,session,0.6,0.6
20200929,MSC,MLIP,-0.3100000000000003,0.006085192697768763,0.0,0.14198782961460446,0.55,0.55,0.4,0.4,3,0.0,3,True,session,0.6,0.6
