t,mu_AB,lo_AB,hi_AB,p_stouffer_AB,sig_AB,mu_BA,lo_BA,hi_BA,p_stouffer_BA,sig_BA
-0.16499999999999998,0.004691305862804693,0.0030038193503497354,0.006378792375259651,0.00272046675326465,1,0.0030366873275468166,0.0022183885790750197,0.0038549860760186136,0.4645498400458338,0
-0.14500000000000002,0.0060961140164101394,0.00377464664640941,0.008417581386410869,0.002065868295202833,1,0.003954235269065289,0.002863857617246066,0.005044612920884511,0.3847556793314778,0
-0.125,0.007372153525227721,0.004568463765283802,0.01017584328517164,0.0012382066421552373,1,0.004793772862564471,0.0034744693968779515,0.006113076328250991,0.36649019081763945,0
-0.10500000000000002,0.009000761025818411,0.00555925219098005,0.012442269860656772,0.00036486579656158646,1,0.0058462652375276866,0.00418880163827422,0.007503728836781153,0.25631916493789064,0
-0.08500000000000003,0.010493519696562557,0.006667077625889106,0.01431996176723601,0.00010110304718169427,1,0.006922690800789016,0.0050487624124786416,0.008796619189099391,0.14887367652140782,0
-0.06500000000000004,0.01077032448183047,0.007153291379079199,0.01438735758458174,3.368927000191313e-05,1,0.0073823209863083245,0.005369524367309338,0.009395117605307311,0.057131710356747134,0
-0.045000000000000054,0.011080043000091862,0.007608677014682979,0.014551408985500745,4.5735890236153764e-06,1,0.007608349748837325,0.005507947640358455,0.009708751857316195,0.03371732682919415,1
-0.025000000000000064,0.011158959185637527,0.007770498443375061,0.014547419927899994,3.807480890238857e-06,1,0.008057586096850257,0.005801527796508086,0.010313644397192429,0.010561636166609767,1
-0.005000000000000074,0.010955755314074911,0.0077365062555016465,0.014175004372648176,5.65818522146877e-06,1,0.008889544940328613,0.0060123186418511235,0.011766771238806102,0.008970905251912575,1
0.014999999999999916,0.011576359726137552,0.00822853037487713,0.014924189077397974,4.061037286673397e-06,1,0.010197982999453641,0.006585035305127683,0.013810930693779599,0.014524184119788952,1
0.034999999999999906,0.01426959257964694,0.009784988544730679,0.0187541966145632,6.61474133800688e-07,1,0.013672903376384982,0.008579503279755474,0.01876630347301449,0.018724935979000268,1
0.054999999999999896,0.018500581521807252,0.012146251789154787,0.024854911254459718,4.625019371928829e-07,1,0.0199868197087126,0.012485636954923423,0.027488002462501774,0.04834732840708578,1
0.07499999999999989,0.026301085274605344,0.01675044464378471,0.03585172590542598,7.815058247206963e-07,1,0.028260920158560073,0.01766051490102493,0.038861325416095216,0.11383711030989108,0
0.0949999999999999,0.03878504352457878,0.024492236316919474,0.053077850732238085,4.246212415015549e-08,1,0.03745032821951653,0.02342216745607189,0.05147848898296117,0.33484657435906284,0
0.11499999999999987,0.05460429832804605,0.03557681786478262,0.07363177879130949,6.93354418324077e-09,1,0.047394010361871235,0.029969862159557954,0.06481815856418452,0.4263625234566252,0
0.13499999999999984,0.07245933216781551,0.048698942190086456,0.09621972214554457,2.52327270189312e-10,1,0.056795824522700274,0.03666605928771424,0.0769255897576863,0.44695925189648655,0
0.15499999999999986,0.09078744854223707,0.06250634994115926,0.11906854714331487,7.439271421105786e-12,1,0.06423160172694325,0.04254005972579342,0.0859231437280931,0.5787057874305042,0
0.17499999999999988,0.10724934654993151,0.07503441546117501,0.13946427763868802,1.944000516118649e-13,1,0.06907416970938977,0.046777913886693626,0.09137042553208592,0.6874310618439875,0
0.19499999999999984,0.1182935140103203,0.08409129709706638,0.1524957309235742,1.308175789915822e-12,1,0.07080483890494488,0.04909707056385935,0.09251260724603041,0.7890728656820603,0
0.2149999999999998,0.12454263950508931,0.08979278294320164,0.15929249606697699,7.861378215068271e-12,1,0.06852410295686134,0.04898308916715359,0.0880651167465691,0.8576925309504142,0
0.23499999999999982,0.12486347770350915,0.09092204715677893,0.15880490825023938,7.879696894974586e-12,1,0.06371564640684713,0.04691983824665129,0.08051145456704296,0.8625606814615192,0
0.25499999999999984,0.11815687621198734,0.08648880277446169,0.14982494964951298,4.381695006827613e-11,1,0.057087136797809086,0.04333863791197914,0.07083563568363904,0.7864776327764021,0
0.2749999999999998,0.10574934389675893,0.07719419958508679,0.13430448820843105,6.542258956798719e-10,1,0.04926061296171629,0.03795740084660243,0.060563825076830155,0.69226991904876,0
0.29499999999999976,0.09076277641927108,0.06576095177955661,0.11576460105898555,2.958011724452092e-09,1,0.041355510932350785,0.031578563039184014,0.051132458825517556,0.6234952724126492,0
0.3149999999999998,0.07446360021877224,0.05328990724806838,0.0956372931894761,2.4061208914183396e-08,1,0.034305358968650064,0.025389030310047862,0.043221687627252266,0.4862135388754032,0
0.3349999999999998,0.05868122214286336,0.04132901850920753,0.07603342577651918,2.574829059964756e-07,1,0.02886735507825203,0.020818672934117002,0.03691603722238706,0.2152080013330645,0
0.3549999999999998,0.04522190790633421,0.03150983006249362,0.0589339857501748,1.824549838658207e-06,1,0.02424787567195569,0.017104195070149077,0.031391556273762306,0.07593641916490534,0
0.3749999999999997,0.03432321747265825,0.02358249671260535,0.04506393823271115,1.7621182111460243e-05,1,0.020509361838907083,0.014368744945153045,0.02664997873266112,0.011155572034138528,1
0.39499999999999974,0.025879842847174105,0.017536676843648027,0.03422300885070018,0.00015231206892118987,1,0.01721369418249394,0.01178921022266468,0.022638178142323204,0.002543659867253023,1
0.41499999999999976,0.020088755674420897,0.013460137209608059,0.026717374139233738,0.000731084877706456,1,0.014462497937768874,0.009660746575524307,0.019264249300013442,0.0019622722584001773,1
0.43499999999999966,0.016669469131619343,0.011086738211209908,0.022252200052028777,0.003074451993826388,1,0.012306253924436876,0.007880798289101567,0.016731709559772184,0.011541563230843432,1
0.4549999999999997,0.01401667532260095,0.009257019052498032,0.01877633159270387,0.0071148751381179265,1,0.010890691389409209,0.006538981000640322,0.015242401778178096,0.04194934565688713,1
0.4749999999999997,0.012093031971789419,0.007905736088984778,0.01628032785459406,0.020345423890812397,1,0.010151628890712264,0.00585204446529422,0.014451213316130307,0.08040099279584101,0
0.4949999999999997,0.010459239578105635,0.006669939461344266,0.014248539694867004,0.06166184942473807,0,0.010092065674118881,0.00550444408238619,0.014679687265851574,0.09374710097958872,0
0.5149999999999997,0.009883078033786165,0.005970103839723552,0.013796052227848778,0.09611254776892353,0,0.010042284137532453,0.005103738662813872,0.014980829612251032,0.14846169400142406,0
0.5349999999999996,0.009720478178775731,0.005513720117682005,0.013927236239869457,0.08994463344473824,0,0.00982859835266351,0.0046613306560267,0.01499586604930032,1.0,0
0.5549999999999996,0.009684414668865715,0.005605010897864129,0.013763818439867301,0.04113128420029,1,0.009833170711255938,0.004157395777460581,0.015508945645051297,0.11663299143191064,0
0.5749999999999996,0.009591195513645455,0.0057004009327697525,0.013481990094521158,0.021654540100252917,1,0.010037911457592167,0.003835231356312879,0.016240591558871455,0.08853118234054902,0
0.5949999999999995,0.009391117624731445,0.005637928206628993,0.013144307042833897,0.017093492796917742,1,0.01065444476459566,0.0038655580509535407,0.01744333147823778,0.032661619044000556,1
0.6149999999999995,0.009403375019154624,0.005671156533543448,0.0131355935047658,0.012575103437449608,1,0.011070242500226892,0.004319174883355988,0.017821310117097797,0.008195458570080083,1
0.6349999999999996,0.009244982585646879,0.005945291082630873,0.012544674088662885,0.008115554397562952,1,0.011398713359385122,0.004671202057045875,0.01812622466172437,0.0016285183977428064,1
0.6549999999999996,0.009383005547122016,0.006425389118776616,0.012340621975467415,0.004339205824308245,1,0.01126917115704282,0.004909706588594994,0.017628635725490643,0.0009585551439756923,1
0.6749999999999996,0.008405041505254873,0.005886577869167916,0.01092350514134183,0.0019265217270775237,1,0.009893304933939955,0.0043548459644267064,0.015431763903453204,0.0015820038592218033,1
0.6949999999999995,0.0073576098564212536,0.005352644462924758,0.00936257524991775,0.0008948691172240286,1,0.008759831792650203,0.0038290061935794166,0.013690657391720991,0.00117834534616168,1
