sid,A,B,median_dC,prop_B_after_A_C,median_dR,prop_B_after_A_R,thrC,thrR,hold_m,tmin,smooth_bins
20230622,SFEF,SLIP,,0.0,,0.0,0.75,0.6,3,0.0,3
20230622,SLIP,SFEF,,0.0,,0.0,0.75,0.6,3,0.0,3
