sid,A,B,IC,pIC,IR,pIR,win,step,k,ridge,int_win,perms,bandC_start,bandC_end,bandR_start,bandR_end,no_x0,cond_b_only,pt_cov,evoked_sigma_ms
20231103,SFEF,SLIP,0.006492634346451773,0.45708582834331335,0.015964502918640627,0.011976047904191617,0.16,0.02,4,0.01,0.16,500,0.12,0.28,0.08,0.2,True,True,False,10.0
20231103,SFEF,SSC,0.0026058399448491655,0.7784431137724551,0.019091849567566283,0.001996007984031936,0.16,0.02,4,0.01,0.16,500,0.12,0.28,0.08,0.2,True,True,False,10.0
20231103,SLIP,SFEF,0.004180426535591058,0.7405189620758483,0.01324905977719321,0.10978043912175649,0.16,0.02,4,0.01,0.16,500,0.12,0.28,0.08,0.2,True,True,False,10.0
20231103,SLIP,SSC,0.002531282603985702,0.5528942115768463,0.01020011786379458,0.36926147704590817,0.16,0.02,4,0.01,0.16,500,0.12,0.28,0.08,0.2,True,True,False,10.0
20231103,SSC,SFEF,0.004397073373435735,0.11776447105788423,0.02815118345863496,0.003992015968063872,0.16,0.02,4,0.01,0.16,500,0.12,0.28,0.08,0.2,True,True,False,10.0
20231103,SSC,SLIP,0.0016278147536508806,0.8383233532934131,0.014943606411438414,0.07584830339321358,0.16,0.02,4,0.01,0.16,500,0.12,0.28,0.08,0.2,True,True,False,10.0
