t,C_mu,C_lo,C_hi,nC
-0.16499999999999998,0.03462123662028922,0.009488553634226737,0.05975391960635171,7.0
-0.14500000000000002,0.04165047612675519,0.011653743043788838,0.07164720920972154,7.0
-0.125,0.04894916604212811,0.013815278981398976,0.08408305310285724,7.0
-0.10500000000000002,0.056472824255237405,0.016471288305534362,0.09647436020494045,7.0
-0.08500000000000003,0.06338287773834592,0.019055047028286365,0.10771070844840547,7.0
-0.06500000000000004,0.07019551337611814,0.021803977188900016,0.11858704956333627,7.0
-0.045000000000000054,0.07039939468644663,0.022758564905257087,0.11804022446763617,7.0
-0.025000000000000064,0.07094310845021312,0.02408620481353687,0.11780001208688937,7.0
-0.005000000000000074,0.0703452239207498,0.025248882048834867,0.11544156579266472,7.0
0.014999999999999916,0.06837747818666672,0.02554173155222865,0.11121322482110478,7.0
0.034999999999999906,0.06572943014437495,0.025139359332110638,0.10631950095663925,7.0
0.054999999999999896,0.06285798187607279,0.02466293031107665,0.10105303344106893,7.0
0.07499999999999989,0.05893398804504246,0.023719994706083034,0.09414798138400189,7.0
0.0949999999999999,0.05456613879067458,0.022876738603920595,0.08625553897742858,7.0
0.11499999999999987,0.05092561373787208,0.022131536988406194,0.07971969048733796,7.0
0.13499999999999984,0.047094622040697205,0.021792138345197967,0.07239710573619644,7.0
0.15499999999999986,0.04305876884433624,0.021847309268031224,0.06427022842064126,7.0
0.17499999999999988,0.03882099202547693,0.022167975013320945,0.055474009037632915,7.0
0.19499999999999984,0.0358733696951578,0.022129904930588765,0.04961683445972684,7.0
0.2149999999999998,0.03440147974343026,0.022175995637451054,0.04662696384940947,7.0
0.23499999999999982,0.03397782325477977,0.0218591959249899,0.04609645058456964,7.0
0.25499999999999984,0.034808789158122196,0.02064303792629421,0.04897454038995018,7.0
0.2749999999999998,0.03710132312471293,0.019742106115619048,0.054460540133806815,7.0
0.29499999999999976,0.03951464675226083,0.01864546502344738,0.06038382848107428,7.0
0.3149999999999998,0.041636298151478186,0.017715553361150264,0.06555704294180612,7.0
0.3349999999999998,0.0443882693693166,0.016908319703643628,0.07186821903498958,7.0
0.3549999999999998,0.04650294303906314,0.01691049548498705,0.07609539059313923,7.0
0.3749999999999997,0.04838400733766984,0.0170165979605763,0.07975141671476338,7.0
0.39499999999999974,0.05011777117017811,0.01768378673001092,0.0825517556103453,7.0
0.41499999999999976,0.05152472007056991,0.01862895582801572,0.0844204843131241,7.0
0.43499999999999966,0.05213495669662784,0.019595029131149654,0.08467488426210604,7.0
0.4549999999999997,0.052351933877460496,0.02010728479419844,0.08459658296072256,7.0
0.4749999999999997,0.05222851569749591,0.020449703210382482,0.08400732818460935,7.0
0.4949999999999997,0.052467375075976604,0.0200992144893912,0.08483553566256201,7.0
0.5149999999999997,0.05303390453754459,0.019170141556218864,0.08689766751887032,7.0
0.5349999999999996,0.05315409619083871,0.018012264740658993,0.08829592764101843,7.0
0.5549999999999996,0.053999984979116004,0.016773783470290397,0.09122618648794162,7.0
0.5749999999999996,0.0549417924926639,0.015938209405299296,0.0939453755800285,7.0
0.5949999999999995,0.05592044393567193,0.014831233429850418,0.09700965444149344,7.0
0.6149999999999995,0.055981035374700734,0.013615147060239884,0.09834692368916159,7.0
0.6349999999999996,0.05604477704633692,0.012615245711473919,0.09947430838119992,7.0
0.6549999999999996,0.050839042723998015,0.01055909908230905,0.09111898636568698,7.0
0.6749999999999996,0.045295230853029285,0.008702827699508739,0.08188763400654983,7.0
0.6949999999999995,0.03948723888825928,0.007401358826053521,0.07157311895046503,7.0
0.7149999999999995,0.033529529597167894,0.006532243010791874,0.06052681618354391,7.0
