t,R_mu,R_lo,R_hi,nR
-0.16499999999999998,0.018420411878216664,0.011196436347885832,0.025644387408547496,7.0
-0.14500000000000002,0.02218234195839652,0.013832256742553235,0.030532427174239804,7.0
-0.125,0.026512867353285754,0.016997226044672874,0.036028508661898634,7.0
-0.10500000000000002,0.031132860070087715,0.020291279009655716,0.041974441130519714,7.0
-0.08500000000000003,0.03578799205500997,0.023437086279107813,0.04813889783091213,7.0
-0.06500000000000004,0.041002001373432205,0.026970369146514565,0.055033633600349845,7.0
-0.045000000000000054,0.04332144823645969,0.029216766771543883,0.0574261297013755,7.0
-0.025000000000000064,0.04626506391263616,0.03117828156667765,0.061351846258594675,7.0
-0.005000000000000074,0.048587915363334976,0.03293901660300133,0.06423681412366862,7.0
0.014999999999999916,0.05046630504581595,0.034343855415035644,0.06658875467659625,7.0
0.034999999999999906,0.05250397503382175,0.03622787381838166,0.06878007624926184,7.0
0.054999999999999896,0.05451437800169983,0.03816392498008101,0.07086483102331864,7.0
0.07499999999999989,0.055443529453281605,0.03949668520642631,0.0713903737001369,7.0
0.0949999999999999,0.05567808830656867,0.040403096736490146,0.07095307987664719,7.0
0.11499999999999987,0.05616784684200902,0.04182799326307732,0.07050770042094072,7.0
0.13499999999999984,0.05585996176565605,0.04285621538201832,0.06886370814929378,7.0
0.15499999999999986,0.054451982675391676,0.04253737938893092,0.06636658596185242,7.0
0.17499999999999988,0.052878475878544294,0.04245424337131667,0.06330270838577193,7.0
0.19499999999999984,0.05174720308371942,0.04230389810559299,0.061190508061845846,7.0
0.2149999999999998,0.050621812942707345,0.04181118588613861,0.05943243999927608,7.0
0.23499999999999982,0.04916219955981047,0.04058215162337542,0.05774224749624553,7.0
0.25499999999999984,0.04799064040834341,0.03924746097532253,0.05673381984136429,7.0
0.2749999999999998,0.047319408784995756,0.03819829879408283,0.05644051877590868,7.0
0.29499999999999976,0.04631107393975888,0.03712725682673053,0.05549489105278724,7.0
0.3149999999999998,0.04517434944723488,0.03642620716764686,0.053922491726822896,7.0
0.3349999999999998,0.04452971769216307,0.036561899474640995,0.05249753590968515,7.0
0.3549999999999998,0.04420307025996077,0.037407822381935435,0.05099831813798611,7.0
0.3749999999999997,0.044306033429245946,0.03839586269988966,0.05021620415860223,7.0
0.39499999999999974,0.04338163713064258,0.03814936979198834,0.04861390446929682,7.0
0.41499999999999976,0.04232076406639471,0.03723918220533809,0.047402345927451336,7.0
0.43499999999999966,0.041035295925280026,0.0357934633946326,0.04627712845592745,7.0
0.4549999999999997,0.039740488096805096,0.034391754087864795,0.0450892221057454,7.0
0.4749999999999997,0.03819956738872399,0.03293968531423447,0.043459449463213506,7.0
0.4949999999999997,0.03762190186596236,0.032992170354115585,0.04225163337780913,7.0
0.5149999999999997,0.03732878232017228,0.03363697319843865,0.04102059144190592,7.0
0.5349999999999996,0.03701932231184872,0.033845414759098455,0.04019322986459899,7.0
0.5549999999999996,0.037180487540201014,0.03292197008605219,0.04143900499434984,7.0
0.5749999999999996,0.03648341141184749,0.030442572189068946,0.04252425063462603,7.0
0.5949999999999995,0.036507361650009736,0.029096434764734735,0.04391828853528474,7.0
0.6149999999999995,0.037334832602200725,0.028055403542215383,0.04661426166218607,7.0
0.6349999999999996,0.038874615986605944,0.02762744781019224,0.05012178416301965,7.0
0.6549999999999996,0.03556864991849,0.025010333296036157,0.046126966540943844,7.0
0.6749999999999996,0.032521125403447725,0.022475269372427886,0.04256698143446756,7.0
0.6949999999999995,0.029252574201357233,0.019707720593833647,0.03879742780888082,7.0
0.7149999999999995,0.025537527719308697,0.016497926783514846,0.03457712865510255,7.0
