t,C_mu,C_lo,C_hi,nC
-0.16499999999999998,0.04174807234078919,0.013283770615780517,0.07021237406579786,12.0
-0.14500000000000002,0.04997139137696057,0.015956467191055743,0.0839863155628654,12.0
-0.125,0.05826873771078645,0.018418567099876312,0.09811890832169659,12.0
-0.10500000000000002,0.06674112251450151,0.02103284635279619,0.11244939867620683,12.0
-0.08500000000000003,0.07568118444877718,0.023741592337435787,0.12762077656011858,12.0
-0.06500000000000004,0.08573357442958542,0.026702035250883875,0.14476511360828695,12.0
-0.045000000000000054,0.08755430071776789,0.02684664755789884,0.14826195387763694,12.0
-0.025000000000000064,0.09070735496726341,0.028023458224478215,0.1533912517100486,12.0
-0.005000000000000074,0.09425027240481602,0.028831495396869952,0.1596690494127621,12.0
0.014999999999999916,0.09928932119901457,0.030094544398092865,0.16848409799993627,12.0
0.034999999999999906,0.10489892594289574,0.031795604615489886,0.1780022472703016,12.0
0.054999999999999896,0.1108199827445006,0.0343002212359772,0.187339744253024,12.0
0.07499999999999989,0.11699293801029549,0.037150614096867374,0.1968352619237236,12.0
0.0949999999999999,0.1229925900277868,0.040066129159310515,0.20591905089626308,12.0
0.11499999999999987,0.12745424554510612,0.04300788150112968,0.21190060958908258,12.0
0.13499999999999984,0.1310065685734427,0.04601460370098323,0.21599853344590217,12.0
0.15499999999999986,0.13389556012328893,0.04816127409405967,0.21962984615251818,12.0
0.17499999999999988,0.13479796433252822,0.049776419879458814,0.21981950878559764,12.0
0.19499999999999984,0.13469383430025483,0.05102364137911136,0.2183640272213983,12.0
0.2149999999999998,0.1334977396078412,0.05222755731141143,0.21476792190427096,12.0
0.23499999999999982,0.13045981669708748,0.052171250082384435,0.20874838331179052,12.0
0.25499999999999984,0.12576536432262928,0.05119150358718558,0.20033922505807297,12.0
0.2749999999999998,0.1198489433843497,0.04935615552779141,0.190341731240908,12.0
0.29499999999999976,0.11327203119793483,0.04745177564296327,0.1790922867529064,12.0
0.3149999999999998,0.10692554087258332,0.045446535693180364,0.1684045460519863,12.0
0.3349999999999998,0.10007468899999945,0.04310980577199796,0.15703957222800094,12.0
0.3549999999999998,0.09323507751745276,0.04091984567309533,0.14555030936181018,12.0
0.3749999999999997,0.0871313776850588,0.03809794193630112,0.13616481343381648,12.0
0.39499999999999974,0.08091415229976062,0.03511153974085804,0.1267167648586632,12.0
0.41499999999999976,0.07473222196241468,0.03196629683952508,0.11749814708530427,12.0
0.43499999999999966,0.07015327500497263,0.029521416526576277,0.11078513348336899,12.0
0.4549999999999997,0.06664130265211478,0.027549947215458795,0.10573265808877076,12.0
0.4749999999999997,0.06425013807142017,0.026311019759376088,0.10218925638346427,12.0
0.4949999999999997,0.06280745864971167,0.025502687232600324,0.10011223006682302,12.0
0.5149999999999997,0.06265292161380775,0.025314591186867776,0.09999125204074774,12.0
0.5349999999999996,0.06277910521673193,0.025357450321104813,0.10020076011235904,12.0
0.5549999999999996,0.06339445555781865,0.025057658490973835,0.10173125262466348,12.0
0.5749999999999996,0.06397440329778419,0.024451800389837568,0.1034970062057308,12.0
0.5949999999999995,0.06501427715258914,0.02407871481802802,0.10594983948715027,12.0
0.6149999999999995,0.06618019881044557,0.023731762578486443,0.10862863504240469,12.0
0.6349999999999996,0.06698698247356927,0.023015669847225438,0.11095829509991309,12.0
0.6549999999999996,0.061049031363109095,0.019989940829025374,0.10210812189719282,12.0
0.6749999999999996,0.05488631528246248,0.017115055630782076,0.0926575749341429,12.0
0.6949999999999995,0.04843387006937946,0.014694831107569598,0.08217290903118932,12.0
0.7149999999999995,0.04153317997903996,0.012613661020349217,0.07045269893773069,12.0
