t,R_mu,R_lo,R_hi,nR
-0.16499999999999998,0.03175229954049967,0.020187564370894542,0.0433170347101048,7.0
-0.14500000000000002,0.03759458911359326,0.024108407823419668,0.05108077040376685,7.0
-0.125,0.04323108518694081,0.02778247191670484,0.058679698457176785,7.0
-0.10500000000000002,0.04879595803904974,0.03156876030888921,0.06602315576921028,7.0
-0.08500000000000003,0.05532619136227313,0.03605236869415902,0.07460001403038724,7.0
-0.06500000000000004,0.062150062487717754,0.04043461069299319,0.08386551428244232,7.0
-0.045000000000000054,0.062141031566688175,0.040928756967832144,0.0833533061655442,7.0
-0.025000000000000064,0.06233509741144999,0.041413646288839936,0.08325654853406005,7.0
-0.005000000000000074,0.06314754349887168,0.041585963992198126,0.08470912300554523,7.0
0.014999999999999916,0.06429405989690358,0.041948296609360405,0.08663982318444675,7.0
0.034999999999999906,0.06504653050632274,0.041832699083904,0.08826036192874148,7.0
0.054999999999999896,0.0659971371322244,0.041966430821005346,0.09002784344344344,7.0
0.07499999999999989,0.06708723976766162,0.04218201829151224,0.091992461243811,7.0
0.0949999999999999,0.06816739016111908,0.04268643462766547,0.0936483456945727,7.0
0.11499999999999987,0.06761187367904649,0.04198344374798547,0.09324030361010752,7.0
0.13499999999999984,0.06692751069984353,0.041564105503720694,0.09229091589596636,7.0
0.15499999999999986,0.06597295025804163,0.041078950031174524,0.09086695048490874,7.0
0.17499999999999988,0.06469400837811949,0.04090163731980519,0.0884863794364338,7.0
0.19499999999999984,0.062434660408175906,0.040165683591268216,0.08470363722508359,7.0
0.2149999999999998,0.060542483489472554,0.039349530870319935,0.08173543610862517,7.0
0.23499999999999982,0.05920530178871249,0.03853312744592572,0.07987747613149926,7.0
0.25499999999999984,0.05807187605412028,0.03825613770785519,0.07788761440038537,7.0
0.2749999999999998,0.056980122905863566,0.03826429067625069,0.07569595513547644,7.0
0.29499999999999976,0.0554809759100218,0.03802243357738576,0.07293951824265785,7.0
0.3149999999999998,0.05463336742674293,0.038008739104550895,0.07125799574893496,7.0
0.3349999999999998,0.05413803876458574,0.038006920153476016,0.07026915737569547,7.0
0.3549999999999998,0.05398274903507648,0.03835981488153219,0.06960568318862077,7.0
0.3749999999999997,0.0542533051579344,0.03874151917328847,0.06976509114258034,7.0
0.39499999999999974,0.05438983356291017,0.03846403150677448,0.07031563561904586,7.0
0.41499999999999976,0.05473435206617421,0.03790069631146979,0.07156800782087863,7.0
0.43499999999999966,0.05477163340955238,0.037592233018217694,0.07195103380088706,7.0
0.4549999999999997,0.054462364588432045,0.03672102171788941,0.07220370745897468,7.0
0.4749999999999997,0.05491324634595286,0.036045711238268024,0.0737807814536377,7.0
0.4949999999999997,0.05560378631538577,0.03575437732854039,0.07545319530223114,7.0
0.5149999999999997,0.05579141815467068,0.035615189862746,0.07596764644659537,7.0
0.5349999999999996,0.05580598174233623,0.034943784534901594,0.07666817894977088,7.0
0.5549999999999996,0.056734786662732635,0.034329088876315014,0.07914048444915026,7.0
0.5749999999999996,0.05783825774181086,0.03431656641519917,0.08135994906842255,7.0
0.5949999999999995,0.05891499841022123,0.034764620442915575,0.08306537637752688,7.0
0.6149999999999995,0.05979092523819718,0.03532788235104715,0.08425396812534722,7.0
0.6349999999999996,0.0608359491957402,0.0356853737318608,0.0859865246596196,7.0
0.6549999999999996,0.05548574755245755,0.032554632198883965,0.07841686290603113,7.0
0.6749999999999996,0.04940002023440863,0.02921813771267152,0.06958190275614573,7.0
0.6949999999999995,0.04356360401525109,0.02636610652704864,0.06076110150345354,7.0
0.7149999999999995,0.038248863818094274,0.023336719897592905,0.05316100773859564,7.0
