sid,A,B,median_dC,prop_B_after_A_C,median_dR,prop_B_after_A_R,thrC_used_A,thrC_used_B,thrR_used_A,thrR_used_B,hold_m,tmin,smooth_bins,auto_thr,auto_strategy,auto_targetC,auto_targetR
20231130,SFEF,SLIP,,,-0.020000000000000018,0.07702888583218707,0.6,0.6,0.45,0.45,3,0.06,2,False,,,
20231130,SFEF,SSC,,,0.020000000000000018,0.07702888583218707,0.6,0.6,0.45,0.45,3,0.06,2,False,,,
20231130,SLIP,SFEF,,,0.020000000000000018,0.10729023383768914,0.6,0.6,0.45,0.45,3,0.06,2,False,,,
20231130,SLIP,SSC,,,0.020000000000000018,0.07840440165061899,0.6,0.6,0.45,0.45,3,0.06,2,False,,,
20231130,SSC,SFEF,,,-0.020000000000000018,0.07152682255845942,0.6,0.6,0.45,0.45,3,0.06,2,False,,,
20231130,SSC,SLIP,,,-0.020000000000000018,0.061898211829436035,0.6,0.6,0.45,0.45,3,0.06,2,False,,,
