t,mu,lo,hi,p_stouffer,sig_fdr,n_sessions
-0.16499999999999998,0.00464158115070642,0.0036065868600270194,0.005676575441385821,0.03298139012526702,0,11.0
-0.14500000000000002,0.004359613046710309,0.0034323758331904776,0.005286850260230141,0.11577266453094226,0,11.0
-0.125,0.004048495584222683,0.00334498605920072,0.004752005109244646,0.27864391290649615,0,11.0
-0.10500000000000002,0.004280310826685794,0.003635047043277076,0.0049255746100945125,0.06286350066483792,0,11.0
-0.08500000000000003,0.004213875263600102,0.0035979254073827127,0.004829825119817492,0.10959796929993493,0,11.0
-0.06500000000000004,0.004004566484924578,0.003270370392128321,0.004738762577720835,0.39605976766530737,0,11.0
-0.045000000000000054,0.004403920203972755,0.00360038195604677,0.00520745845189874,0.08160494148605713,0,11.0
-0.025000000000000064,0.004331019076282598,0.00386094970661677,0.004801088445948425,0.06300934007446268,0,11.0
-0.005000000000000074,0.004433754763366307,0.0039632535767675685,0.004904255949965045,0.0238400780159147,0,11.0
0.014999999999999916,0.0042029614605313065,0.0037474266583637857,0.004658496262698828,0.07425205075350283,0,11.0
0.034999999999999906,0.0045218801661040895,0.0038426659593473415,0.0052010943728608375,0.025979192708883492,0,11.0
0.054999999999999896,0.005301411993234388,0.004701214907603492,0.005901609078865284,0.00028315031457437634,1,11.0
0.07499999999999989,0.005301141302110822,0.004385077923087186,0.006217204681134458,0.042885616726696996,0,11.0
0.0949999999999999,0.006457633418765387,0.0052170212632605215,0.007698245574270252,0.005209258090552948,1,11.0
0.11499999999999987,0.0072217382240993225,0.005979340338991097,0.008464136109207548,0.013092216983412674,1,11.0
0.13499999999999984,0.0077181435706897734,0.006160742874314956,0.009275544267064591,0.005532930013432358,1,11.0
0.15499999999999986,0.007104810245516586,0.005516875007301863,0.008692745483731308,0.013282540298979573,1,11.0
0.17499999999999988,0.006374076756265573,0.00490562914666525,0.007842524365865897,0.036267540718417646,0,11.0
0.19499999999999984,0.0060442635497418955,0.004787141269784674,0.007301385829699117,0.006270796279560953,1,11.0
0.2149999999999998,0.005431516559111472,0.004404566909483137,0.006458466208739808,0.009581164850663737,1,11.0
0.23499999999999982,0.0045555623583617595,0.003696498694388576,0.005414626022334943,0.2503946303479685,0,11.0
0.25499999999999984,0.00510805046085168,0.004122815991070477,0.006093284930632883,0.024533647422122717,0,11.0
0.2749999999999998,0.004859274310786001,0.0033940706088677374,0.006324478012704265,0.31423144896957766,0,11.0
0.29499999999999976,0.004767585287519755,0.003455882674897205,0.006079287900142305,0.26313832783180313,0,11.0
0.3149999999999998,0.004969887966713432,0.0036404504174403253,0.006299325515986538,0.19167135810850522,0,11.0
0.3349999999999998,0.004931187324246782,0.003793558627402783,0.006068816021090781,0.15874501368497662,0,11.0
0.3549999999999998,0.004888588173090069,0.004061105394523309,0.00571607095165683,0.16483722921004773,0,11.0
0.3749999999999997,0.004885323603302182,0.003985046321196156,0.005785600885408208,0.2660179501407107,0,11.0
0.39499999999999974,0.0051925893835926195,0.00422471244075696,0.006160466326428279,0.17142821354371818,0,11.0
0.41499999999999976,0.004781598389116009,0.004054070365960538,0.0055091264122714804,0.4762026357316903,0,11.0
0.43499999999999966,0.0046658531285521734,0.0039319756032524635,0.005399730653851883,0.6344533433257973,0,11.0
0.4549999999999997,0.004926163161800467,0.00383527620688269,0.006017050116718244,0.6082354338329098,0,11.0
0.4749999999999997,0.0051180271859278155,0.0038830025819003833,0.006353051789955247,0.6012739378248763,0,11.0
0.4949999999999997,0.005075383121378154,0.0036372179023213508,0.006513548340434957,0.6916321751923972,0,11.0
0.5149999999999997,0.0049312213539333336,0.003542164954295445,0.006320277753571222,0.8981349479905874,0,11.0
0.5349999999999996,0.005587897827946751,0.0038531894478243964,0.007322606208069105,0.5963050452843163,0,11.0
0.5549999999999996,0.006476461099330129,0.004178763373272099,0.00877415882538816,0.16476912096610397,0,11.0
0.5749999999999996,0.006127828766730601,0.0038567237762834037,0.008398933757177799,0.6190052858327099,0,11.0
0.5949999999999995,0.006008665285911533,0.0041607158124648165,0.00785661475935825,0.6037094847197031,0,11.0
0.6149999999999995,0.0068256035099919015,0.005036559432784205,0.008614647587199598,0.16871720127147904,0,11.0
0.6349999999999996,0.006231115711719772,0.004398686274298197,0.008063545149141347,0.6986892708024326,0,11.0
0.6549999999999996,0.007277905768342863,0.005320120162676512,0.009235691374009213,0.07496438182958332,0,11.0
0.6749999999999996,0.007336008469777854,0.005547173493635761,0.009124843445919947,0.09364755193711494,0,11.0
0.6949999999999995,0.007504424543495999,0.005745459568346054,0.009263389518645944,0.0697404819627202,0,11.0
0.7149999999999995,0.0065562909468228105,0.004822423221856883,0.008290158671788738,0.7087699539118888,0,11.0
