t,mu,lo,hi,p_stouffer,sig_fdr,n_sessions
-0.16499999999999998,0.02007810326466581,0.015919614335674147,0.024236592193657473,1.0,0,7.0
-0.14500000000000002,0.024140865615015404,0.019708559981389973,0.028573171248640835,1.0,0,7.0
-0.125,0.028299110903247226,0.023491973314860897,0.03310624849163355,1.0,0,7.0
-0.10500000000000002,0.03256683231777972,0.027752251863838857,0.037381412771720586,0.22914006755825977,0,7.0
-0.08500000000000003,0.03682965181091153,0.03179821159594913,0.04186109202587393,0.17268506049491428,0,7.0
-0.06500000000000004,0.040696772088893836,0.03575726473590486,0.04563627944188281,0.16384752450094142,0,7.0
-0.045000000000000054,0.04000966188319011,0.03561542273325463,0.044403901033125595,0.19598555640951965,0,7.0
-0.025000000000000064,0.03983504961177686,0.03574839961608541,0.04392169960746831,0.1972496121509818,0,7.0
-0.005000000000000074,0.04021466612956637,0.03553799095615526,0.04489134130297748,0.25482929886790484,0,7.0
0.014999999999999916,0.041787441265433045,0.03682787944788963,0.04674700308297646,0.2523459791886471,0,7.0
0.034999999999999906,0.04449736478879777,0.03898492745709909,0.050009802120496445,0.15209808791039348,0,7.0
0.054999999999999896,0.046778810298097544,0.04074413403588639,0.052813486560308695,0.11178834835723206,0,7.0
0.07499999999999989,0.04831089474180911,0.041178374127036246,0.05544341535658197,0.11534741333802911,0,7.0
0.0949999999999999,0.048994053694106796,0.04140573098402438,0.056582376404189214,0.148342437532334,0,7.0
0.11499999999999987,0.049991382464122616,0.04168343250091804,0.05829933242732719,0.12424411552123393,0,7.0
0.13499999999999984,0.05135839481726677,0.04193557327045648,0.06078121636407706,0.05902693909641521,0,7.0
0.15499999999999986,0.053587798865663734,0.04270076685075454,0.06447483088057293,0.012842031749394578,1,7.0
0.17499999999999988,0.05579664392750259,0.04326447050026749,0.06832881735473768,0.00360236869526942,1,7.0
0.19499999999999984,0.0582259138548466,0.043421270250916286,0.07303055745877692,0.0007417519297029385,1,7.0
0.2149999999999998,0.05951048424275734,0.043388123294889995,0.07563284519062469,0.00011933418297249698,1,7.0
0.23499999999999982,0.05910732590764838,0.04238286081811517,0.0758317909971816,3.7810645671765286e-05,1,7.0
0.25499999999999984,0.05904841247549812,0.04111292181989962,0.07698390313109663,7.001795559324897e-05,1,7.0
0.2749999999999998,0.058981986406101895,0.03992784338908949,0.0780361294231143,0.00011939126523008436,1,7.0
0.29499999999999976,0.059460283626648534,0.03931886747500104,0.07960169977829604,0.0001736783711820955,1,7.0
0.3149999999999998,0.05926549802838552,0.03905800875251083,0.07947298730426022,0.000343228089180303,1,7.0
0.3349999999999998,0.058884388249927734,0.03938125468361851,0.07838752181623695,0.0004273522582121103,1,7.0
0.3549999999999998,0.05760863846380899,0.039289970193200845,0.07592730673441714,0.0012927817008836495,1,7.0
0.3749999999999997,0.056049051197300435,0.03969515922844384,0.07240294316615703,0.002335044742055703,1,7.0
0.39499999999999974,0.053763880534692395,0.03900820413437877,0.06851955693500603,0.010273672740934159,1,7.0
0.41499999999999976,0.05169065653654177,0.0383972934183124,0.06498401965477114,0.03985514981784266,1,7.0
0.43499999999999966,0.050253403900623494,0.039020282046156776,0.06148652575509021,0.07650422017307035,0,7.0
0.4549999999999997,0.04861768021891984,0.03912108352980492,0.05811427690803475,0.1563068326730499,0,7.0
0.4749999999999997,0.048204033727416946,0.040065410347772626,0.05634265710706127,0.18067641624674446,0,7.0
0.4949999999999997,0.047701544108454744,0.04013475841441577,0.055268329802493715,0.24674748166743554,0,7.0
0.5149999999999997,0.04790935202126771,0.040735720998021294,0.05508298304451413,0.25993594618950977,0,7.0
0.5349999999999996,0.04818620113784327,0.04137569525550372,0.05499670702018282,0.2783026687929582,0,7.0
0.5549999999999996,0.04922457110403684,0.04212246799199986,0.056326674216073826,0.21549119009301743,0,7.0
0.5749999999999996,0.05029608914438123,0.04365537041339482,0.056936807875367645,0.1620826645864608,0,7.0
0.5949999999999995,0.05137540094238002,0.044786133830943396,0.05796466805381665,0.10832045934698109,0,7.0
0.6149999999999995,0.052535531325535456,0.045536766081371,0.05953429656969991,0.0667756873424642,0,7.0
0.6349999999999996,0.05393366415824991,0.046739309508516805,0.06112801880798302,0.02389937413751564,1,7.0
0.6549999999999996,0.04928409341245445,0.042516597151983415,0.05605158967292548,0.017703295937436136,1,7.0
0.6749999999999996,0.04407383624141019,0.037795277089021265,0.05035239539379911,0.020478650207059634,1,7.0
0.6949999999999995,0.03914714827299555,0.03297269886098995,0.04532159768500115,0.016914816893008888,1,7.0
0.7149999999999995,0.03387397769529798,0.028417797353641347,0.03933015803695461,0.013118229789883085,1,7.0
