t,mean_diff,ci_lo,ci_hi,null_mu_mean,meta_p,fdr_sig,frac_sig_sessions
-0.16499999999999998,-0.0007697912758872944,-0.0020038287443847344,0.0004642461926101456,1.0708214663979495e-05,0.032027879908279065,0,0.0
-0.14500000000000002,-0.0008106053049400589,-0.0022684693762307848,0.0006472587663506669,1.5170936465043146e-05,0.018057711089310414,1,0.0
-0.125,-0.0009308093692179759,-0.0025855914222013294,0.0007239726837653778,1.8692125650966682e-05,0.3341822003225004,0,0.0
-0.10500000000000002,-0.0010890546458763206,-0.0028930394977951593,0.0007149302060425178,2.2130104252236858e-05,0.3940915937944315,0,0.0
-0.08500000000000003,-0.0013026187094628346,-0.0032320595293659484,0.0006268221104402791,3.053288483099548e-05,0.0027034302395413756,1,0.0
-0.06500000000000004,-0.001302678184051046,-0.0031848675261133413,0.0005795111580112493,3.131935425362416e-05,3.7434873259688466e-05,1,0.0
-0.045000000000000054,-0.0012808224832888122,-0.003078724738485032,0.0005170797719074075,3.346732087449604e-05,2.9193897676220243e-05,1,0.0
-0.025000000000000064,-0.001108433538208995,-0.002725438766682296,0.000508571690264306,4.377504991878411e-05,0.050870999827059143,0,0.0
-0.005000000000000074,-0.0008608911005849554,-0.0023050694751594143,0.0005832872739895034,9.648724860378416e-05,0.07552114192364308,0,0.0
0.014999999999999916,-0.0008437945484378217,-0.0024433427372688036,0.0007557536403931603,0.0002818201834251901,0.006057754995059832,1,0.0
0.034999999999999906,-0.0010963831094073554,-0.003561173394520784,0.0013684071757060733,0.0006719326015544902,0.0001785423685135298,1,0.0
0.054999999999999896,-0.0009764944907551333,-0.004642981676361949,0.0026899926948516823,0.0013579732618370065,3.763147921802249e-05,1,0.18181818181818182
0.07499999999999989,-0.0015021501307951538,-0.006688651857933502,0.003684351596343194,0.0017939090934559474,0.008361800051786042,1,0.18181818181818182
0.0949999999999999,-0.0030852264261755466,-0.009909947673048201,0.0037394948206971074,0.0016507502042325533,0.00021580570854562914,1,0.18181818181818182
0.11499999999999987,-0.005971043545405053,-0.014536189175949494,0.0025941020851393878,0.0007989617077886601,0.0225607263468084,0,0.09090909090909091
0.13499999999999984,-0.010251483877062133,-0.020767770095870934,0.00026480234174666543,-0.0009058545418626636,0.03701655272756295,0,0.09090909090909091
0.15499999999999986,-0.01514392117523636,-0.027019353796954006,-0.0032684885535187135,-0.003391134247331302,0.13119396906694863,0,0.09090909090909091
0.17499999999999988,-0.01962348378634402,-0.032645276502519444,-0.0066016910701685964,-0.006226292209575262,7.354315790035381e-05,1,0.09090909090909091
0.19499999999999984,-0.023705092048678142,-0.03751431650890963,-0.009895867588446657,-0.008834801683347394,0.00863150895785708,1,0.0
0.2149999999999998,-0.02747927277717452,-0.04154832670671282,-0.013410218847636227,-0.01114324007254494,0.00015715163913937295,1,0.0
0.23499999999999982,-0.02980385933529752,-0.04378347336428869,-0.01582424530630635,-0.012843089832617083,0.004657062973903159,1,0.0
0.25499999999999984,-0.030425162180590923,-0.04447661371734001,-0.016373710643841834,-0.01343416414362571,1.2299852171906458e-08,1,0.0
0.2749999999999998,-0.028962984930104466,-0.042759358995696384,-0.015166610864512549,-0.012918165190566494,6.212209055511167e-09,1,0.0
0.29499999999999976,-0.025607749246276703,-0.03881875737696007,-0.012396741115593336,-0.011318181283155357,0.0011164812380126358,1,0.0
0.3149999999999998,-0.021442783815952507,-0.033546134764611706,-0.009339432867293307,-0.008912910321586488,0.0005607123749333037,1,0.0
0.3349999999999998,-0.017504112891788607,-0.028322073744525982,-0.006686152039051232,-0.0064135845519669365,0.0009612327312330891,1,0.0
0.3549999999999998,-0.013341760619696939,-0.02273933786604113,-0.0039441833733527484,-0.004253471198151581,0.028865919977591102,0,0.0
0.3749999999999997,-0.009580889375584963,-0.016909870845402387,-0.002251907905767539,-0.0026425530075560714,0.032927720232054036,0,0.0
0.39499999999999974,-0.006565232244072853,-0.01236790237384747,-0.0007625621142982354,-0.0013478571711282436,0.036574485562164825,0,0.0
0.41499999999999976,-0.004151313036011709,-0.008623996682684733,0.00032137061066131716,-0.000559256481215389,0.0397569139164573,0,0.0
0.43499999999999966,-0.0026881360912296487,-0.006232519938951114,0.0008562477564918168,-0.00021766937171846697,0.8772124181734274,0,0.0
0.4549999999999997,-0.0020677929720803534,-0.004748423928434108,0.0006128379842734013,-9.320360238826309e-05,0.934436919281414,0,0.0
0.4749999999999997,-0.00163029204992432,-0.003750122509856959,0.0004895384100083188,-3.019968948596284e-06,0.876597020083245,0,0.0
0.4949999999999997,-0.0011776594821796204,-0.0030590753332994684,0.0007037563689402274,0.0001581003438442548,0.7822038972449652,0,0.0
0.5149999999999997,-0.0009495272296511515,-0.002618653545332436,0.0007195990860301331,0.00022691393244984957,0.8174676980708045,0,0.0
0.5349999999999996,-0.0007490678444945088,-0.0025619321054802325,0.0010637964164912147,0.00024174739354617322,0.9711284646532908,0,0.09090909090909091
0.5549999999999996,-0.0005815759972765355,-0.002923318166108793,0.0017601661715557215,0.0001951418706434954,0.9927194287800905,0,0.09090909090909091
0.5749999999999996,-0.00039630890688225484,-0.0032059490346668176,0.002413331220902308,0.00013656899781437634,0.9150551537754823,0,0.09090909090909091
0.5949999999999995,-6.67086120076658e-05,-0.003407247798692788,0.0032738305746774564,0.00011912266753213791,0.8637996877462754,0,0.09090909090909091
0.6149999999999995,0.00029577896396976584,-0.0032369400228829293,0.0038284979508224613,8.399222541933224e-05,0.9373053443067008,0,0.09090909090909091
