t,mean_diff,ci_lo,ci_hi,null_mu_mean,meta_p,fdr_sig,frac_sig_sessions
-0.16499999999999998,0.0001745774211999247,-0.00035758623709392594,0.0007067410794937754,3.865316151278498e-06,0.1987552934855038,0,0.0
-0.14500000000000002,0.00023446126416032186,-0.00032434501763743895,0.0007932675459580826,-8.121235659566061e-07,0.14610364248386784,0,0.0
-0.125,6.396726534103928e-06,-0.0004766223741361519,0.0004894158272043598,9.118672058998521e-06,0.46852802933331267,0,0.0
-0.10500000000000002,-7.685233690296208e-06,-0.0005802921404907995,0.0005649216731102071,1.733189505032813e-05,0.9570451544610304,0,0.14285714285714285
-0.08500000000000003,0.00017002427054561804,-0.00017384018623076342,0.0005138887273219995,1.1642432453295672e-05,0.2843761609602146,0,0.0
-0.06500000000000004,0.0003801990905188587,1.9851452455043738e-05,0.0007405467285826737,1.9625240575824892e-05,0.06648770505493463,0,0.14285714285714285
-0.045000000000000054,0.0004267083400173608,7.838799150637545e-05,0.0007750286885283462,3.5835175514990366e-06,0.04541511504971518,0,0.0
-0.025000000000000064,0.00015062361630352748,-0.00022102825814010707,0.0005222754907471621,-2.386432364351589e-06,0.29594793920547047,0,0.0
-0.005000000000000074,1.3303365992980828e-05,-0.0003616221573567731,0.0003882288893427347,5.777771598091572e-06,0.5207305064386678,0,0.0
0.014999999999999916,-0.00022373601313423834,-0.0006313604911203462,0.00018388846485186948,2.525835976578677e-06,0.839337345877528,0,0.0
0.034999999999999906,-0.0005413672399888693,-0.0010413971207859855,-4.133735919175318e-05,-2.118584237643635e-05,0.6083776114965764,0,0.0
0.054999999999999896,-0.00019171933433326645,-0.00047311319692509905,8.967452825856616e-05,-2.9472926507088662e-05,0.7758439094441122,0,0.0
0.07499999999999989,-0.0003508122671294485,-0.0008210001295019644,0.00011937559524306747,-3.840457225524353e-05,0.863498268047025,0,0.0
0.0949999999999999,-0.00030376654662872565,-0.0010242034980934038,0.0004166704048359524,-5.2997109705237314e-05,0.8022044669413506,0,0.0
0.11499999999999987,-0.000154546415205944,-0.0010834286531669899,0.0007743358227551018,-8.809097563477301e-06,0.09257571238863857,0,0.14285714285714285
0.13499999999999984,0.0001405534424967711,-0.000981501880417401,0.001262608765410943,-1.1167104835485008e-05,0.33459943570783257,0,0.14285714285714285
0.15499999999999986,-0.000278818310291847,-0.0011029511626841806,0.0005453145421004865,7.720465501777423e-06,0.8590916956048955,0,0.0
0.17499999999999988,-0.0005361747192342328,-0.0011032379515795554,3.0888513111089824e-05,9.976661142059755e-05,0.9660584188620366,0,0.0
0.19499999999999984,-0.00047425840719669636,-0.001337620154880363,0.00038910334048697023,4.980169146551915e-05,0.41068949977739166,0,0.0
0.2149999999999998,-0.000378664623956459,-0.0008183840469651343,6.105479905221627e-05,7.131969465698547e-05,0.9374871795806339,0,0.0
0.23499999999999982,-0.0005013029178389015,-0.0009015027566370449,-0.00010110307904075805,2.8419037318916366e-05,0.959554269258553,0,0.0
0.25499999999999984,-0.0006106602707257153,-0.0015804100734366556,0.0003590895319852248,2.3306321453038335e-05,2.542674420058204e-05,1,0.0
0.2749999999999998,-0.0004676455830640138,-0.0012160615118092482,0.0002807703456812208,1.794334261304547e-05,0.36958818755386436,0,0.0
0.29499999999999976,-0.0002101690762789435,-0.0014704703618960667,0.0010501322093381797,4.40393448184251e-06,0.08426606581597774,0,0.14285714285714285
0.3149999999999998,-0.00021669624812340133,-0.0013367266901671809,0.0009033341939203782,3.134093229481444e-06,0.2838414186554108,0,0.14285714285714285
0.3349999999999998,-0.0001731544661339695,-0.0012223657356699904,0.0008760568034020513,8.404269909564899e-06,0.07352237305761027,0,0.14285714285714285
0.3549999999999998,8.622578360792685e-05,-0.000844933711914891,0.0010173852791307448,-1.2665958547655095e-05,0.444080318516939,0,0.14285714285714285
0.3749999999999997,0.00044810832702281753,-0.0007058172183294065,0.0016020338723750414,-1.63113426526309e-05,0.8387284492812459,0,0.42857142857142855
0.39499999999999974,-4.8376692439461895e-05,-0.0011526995449907234,0.0010559461601117998,-3.077909281468064e-06,0.24361318262139806,0,0.14285714285714285
0.41499999999999976,0.0001419018356370048,-0.0002562122961055351,0.0005400159673795447,-6.779799980417241e-06,0.24760541394842073,0,0.14285714285714285
0.43499999999999966,-2.5146291904048455e-05,-0.0004057534672559048,0.0003554608834478079,-7.380178692823358e-06,0.5004612536004402,0,0.0
0.4549999999999997,0.00013128726729123318,-0.00041919545881182764,0.0006817699933942941,-6.134068065093567e-06,0.26913951077063486,0,0.0
0.4749999999999997,-0.0002796250713439311,-0.0010215555150828379,0.0004623053723949755,1.725591473402942e-05,0.9142608285396618,0,0.14285714285714285
0.4949999999999997,-0.0005723613547276527,-0.0011746098151016577,2.988710564635216e-05,8.840764842544814e-07,0.9997638259450351,0,0.14285714285714285
0.5149999999999997,-0.0003125877465142586,-0.0010405935576808705,0.0004154180646523534,1.2216755981086997e-05,0.1956126331079001,0,0.0
0.5349999999999996,-9.677158649451552e-05,-0.0005779297714108965,0.00038438659842186535,5.965371597724721e-06,0.6234524816928273,0,0.0
0.5549999999999996,0.00015229403381631227,-0.0004678903612494056,0.0007724784288820301,-1.3439729560663676e-05,0.7885451495830277,0,0.14285714285714285
0.5749999999999996,3.525442923383728e-05,-0.0007785636071235248,0.0008490724655911993,-1.581352035758222e-05,0.014667626472416187,0,0.2857142857142857
0.5949999999999995,0.00032352639675658525,-0.00039008385750511363,0.0010371366510182841,-3.234522241032351e-06,0.07082347064357031,0,0.2857142857142857
