sid,pair,file
20230622,SFEF->SLIP,induced_flow_SFEFtoSLIP.npz
20230627,SFEF->SLIP,induced_flow_SFEFtoSLIP.npz
20230705,SFEF->SLIP,induced_flow_SFEFtoSLIP.npz
20230707,SFEF->SLIP,induced_flow_SFEFtoSLIP.npz
20230710,SFEF->SLIP,induced_flow_SFEFtoSLIP.npz
20231025,SFEF->SLIP,induced_flow_SFEFtoSLIP.npz
20231103,SFEF->SLIP,induced_flow_SFEFtoSLIP.npz
20231109,SFEF->SLIP,induced_flow_SFEFtoSLIP.npz
20231121,SFEF->SLIP,induced_flow_SFEFtoSLIP.npz
20231123,SFEF->SLIP,induced_flow_SFEFtoSLIP.npz
20231130,SFEF->SLIP,induced_flow_SFEFtoSLIP.npz
20231205,SFEF->SLIP,induced_flow_SFEFtoSLIP.npz
20231025,SFEF->SSC,induced_flow_SFEFtoSSC.npz
20231103,SFEF->SSC,induced_flow_SFEFtoSSC.npz
20231109,SFEF->SSC,induced_flow_SFEFtoSSC.npz
20231121,SFEF->SSC,induced_flow_SFEFtoSSC.npz
20231123,SFEF->SSC,induced_flow_SFEFtoSSC.npz
20231130,SFEF->SSC,induced_flow_SFEFtoSSC.npz
20231205,SFEF->SSC,induced_flow_SFEFtoSSC.npz
20230622,SLIP->SFEF,induced_flow_SLIPtoSFEF.npz
20230627,SLIP->SFEF,induced_flow_SLIPtoSFEF.npz
20230705,SLIP->SFEF,induced_flow_SLIPtoSFEF.npz
20230707,SLIP->SFEF,induced_flow_SLIPtoSFEF.npz
20230710,SLIP->SFEF,induced_flow_SLIPtoSFEF.npz
20231025,SLIP->SFEF,induced_flow_SLIPtoSFEF.npz
20231103,SLIP->SFEF,induced_flow_SLIPtoSFEF.npz
20231109,SLIP->SFEF,induced_flow_SLIPtoSFEF.npz
20231121,SLIP->SFEF,induced_flow_SLIPtoSFEF.npz
20231123,SLIP->SFEF,induced_flow_SLIPtoSFEF.npz
20231130,SLIP->SFEF,induced_flow_SLIPtoSFEF.npz
20231205,SLIP->SFEF,induced_flow_SLIPtoSFEF.npz
20231025,SLIP->SSC,induced_flow_SLIPtoSSC.npz
20231103,SLIP->SSC,induced_flow_SLIPtoSSC.npz
20231109,SLIP->SSC,induced_flow_SLIPtoSSC.npz
20231121,SLIP->SSC,induced_flow_SLIPtoSSC.npz
20231123,SLIP->SSC,induced_flow_SLIPtoSSC.npz
20231130,SLIP->SSC,induced_flow_SLIPtoSSC.npz
20231205,SLIP->SSC,induced_flow_SLIPtoSSC.npz
20231025,SSC->SFEF,induced_flow_SSCtoSFEF.npz
20231103,SSC->SFEF,induced_flow_SSCtoSFEF.npz
20231109,SSC->SFEF,induced_flow_SSCtoSFEF.npz
20231121,SSC->SFEF,induced_flow_SSCtoSFEF.npz
20231123,SSC->SFEF,induced_flow_SSCtoSFEF.npz
20231130,SSC->SFEF,induced_flow_SSCtoSFEF.npz
20231205,SSC->SFEF,induced_flow_SSCtoSFEF.npz
20231025,SSC->SLIP,induced_flow_SSCtoSLIP.npz
20231103,SSC->SLIP,induced_flow_SSCtoSLIP.npz
20231109,SSC->SLIP,induced_flow_SSCtoSLIP.npz
20231121,SSC->SLIP,induced_flow_SSCtoSLIP.npz
20231123,SSC->SLIP,induced_flow_SSCtoSLIP.npz
20231130,SSC->SLIP,induced_flow_SSCtoSLIP.npz
20231205,SSC->SLIP,induced_flow_SSCtoSLIP.npz
