t,R_mu,R_lo,R_hi,nR
-0.16499999999999998,0.020161309831514058,0.01414251010232491,0.026180109560703206,7.0
-0.14500000000000002,0.025305612239026744,0.01836327582315504,0.03224794865489845,7.0
-0.125,0.030320102900964336,0.021916685663747083,0.03872352013818159,7.0
-0.10500000000000002,0.03501870043367792,0.025099109870126868,0.04493829099722897,7.0
-0.08500000000000003,0.03994275735810029,0.028481677365474186,0.051403837350726386,7.0
-0.06500000000000004,0.04089740315042156,0.029345487716053414,0.05244931858478971,7.0
-0.045000000000000054,0.04199516448847852,0.029494724926206632,0.054495604050750414,7.0
-0.025000000000000064,0.04272840879741478,0.029092071423607188,0.05636474617122238,7.0
-0.005000000000000074,0.04397724150005922,0.029182208946367298,0.05877227405375115,7.0
0.014999999999999916,0.04570075711355564,0.029365411913919955,0.06203610231319132,7.0
0.034999999999999906,0.0476007986097476,0.030115094348418355,0.06508650287107684,7.0
0.054999999999999896,0.049210122999612006,0.030672079831402747,0.06774816616782127,7.0
0.07499999999999989,0.050600384975888764,0.0311407876577498,0.07005998229402773,7.0
0.0949999999999999,0.05088390580152554,0.030915742790127338,0.07085206881292375,7.0
0.11499999999999987,0.05057202965409,0.030724564564554798,0.0704194947436252,7.0
0.13499999999999984,0.04985017302010492,0.030336273277241452,0.0693640727629684,7.0
0.15499999999999986,0.049260323904379066,0.030166575398766018,0.06835407240999211,7.0
0.17499999999999988,0.047372636874235194,0.029266829822677757,0.06547844392579263,7.0
0.19499999999999984,0.04509706282621638,0.02787423560769539,0.06231989004473737,7.0
0.2149999999999998,0.04299282733933758,0.026349179265674757,0.059636475413000406,7.0
0.23499999999999982,0.04062047996144175,0.024574765031018436,0.05666619489186506,7.0
0.25499999999999984,0.03816022359820219,0.023032964206688746,0.05328748298971563,7.0
0.2749999999999998,0.0358764852699391,0.02179369069380828,0.04995927984606992,7.0
0.29499999999999976,0.03449068680342515,0.02149132043327605,0.047490053173574256,7.0
0.3149999999999998,0.03232921554623494,0.020287747854699823,0.04437068323777006,7.0
0.3349999999999998,0.030439797689331225,0.018832184745750963,0.04204741063291149,7.0
0.3549999999999998,0.029560371965781533,0.01776028689179543,0.04136045703976764,7.0
0.3749999999999997,0.029012272854599314,0.0177966546331684,0.040227891076030226,7.0
0.39499999999999974,0.028774465260318575,0.018040968797100078,0.03950796172353707,7.0
0.41499999999999976,0.028512226528008836,0.01868977290102013,0.03833468015499754,7.0
0.43499999999999966,0.02792562631716582,0.01905824863669612,0.03679300399763552,7.0
0.4549999999999997,0.027304720155124734,0.018863175677908885,0.03574626463234058,7.0
0.4749999999999997,0.02724141943912436,0.019028015864693982,0.03545482301355474,7.0
0.4949999999999997,0.027746407291122852,0.019729875827128998,0.035762938755116706,7.0
0.5149999999999997,0.027292999560990076,0.019175514701223348,0.0354104844207568,7.0
0.5349999999999996,0.02657636936345747,0.017457550527414226,0.03569518819950072,7.0
0.5549999999999996,0.025839092958402612,0.01615076650424866,0.03552741941255656,7.0
0.5749999999999996,0.02537243052858513,0.014968409617315449,0.035776451439854806,7.0
0.5949999999999995,0.0257468235467157,0.014502428437630038,0.036991218655801364,7.0
0.6149999999999995,0.02580206656614026,0.014368811040237415,0.03723532209204311,7.0
0.6349999999999996,0.025933313315384777,0.014633445343841178,0.037233181286928374,7.0
0.6549999999999996,0.025643961928198424,0.014973187434375769,0.03631473642202108,7.0
0.6749999999999996,0.02233783727177015,0.013406750249204756,0.031268924294335546,7.0
0.6949999999999995,0.019398880144785784,0.01220036882639483,0.026597391463176738,7.0
0.7149999999999995,0.01643199262131809,0.010613374590184037,0.022250610652452145,7.0
