t,mu_fwd,lo_fwd,hi_fwd,mu_rev,lo_rev,hi_rev,n
-0.185,0.017041147047027822,0.0018352281315195465,0.0322470659625361,0.007125236988774823,0.0020838541836219263,0.01216661979392772,7.0
-0.165,0.018084301322983304,0.002563226382138536,0.03360537626382807,0.008062545557029255,0.002591314282027601,0.01353377683203091,7.0
-0.14500000000000002,0.018310346957974098,0.0023015933721279337,0.03431910054382026,0.008799292542579972,0.0025612257551028503,0.015037359330057095,7.0
-0.12500000000000003,0.017834068578211813,0.002560065196924947,0.03310807195949868,0.00867509282179178,0.001727984678334629,0.015622200965248929,7.0
-0.10500000000000004,0.016628239294381904,0.002533206568871715,0.03072327201989209,0.009198167927183847,0.0009988908568635858,0.01739744499750411,7.0
-0.08500000000000005,0.01739931415604385,0.0019994093521501343,0.032799218959937565,0.008629163300098433,0.0018020137721712556,0.01545631282802561,7.0
-0.06500000000000006,0.016857201077744573,0.0014135751721580589,0.03230082698333109,0.00858290567370141,0.001807908884297561,0.01535790246310526,7.0
-0.04500000000000007,0.018375622234882167,0.0011896111312208087,0.03556163333854352,0.009197510220824184,0.002032157840718137,0.01636286260093023,7.0
-0.025000000000000078,0.01840459961016636,0.0019436971239024103,0.03486550209643031,0.009084467523719168,0.0027905372760185926,0.015378397771419743,7.0
-0.005000000000000088,0.017394839388032872,0.0012692562680236483,0.033520422508042096,0.008741914678991153,0.002836168973985134,0.014647660383997172,7.0
0.014999999999999902,0.017560454917411976,0.0015059229388450779,0.033614986895978874,0.008111209715046794,0.002695097951144406,0.01352732147894918,7.0
0.03499999999999989,0.016869712008701944,0.001629520074220868,0.03210990394318302,0.007593756869954152,0.0025230442176682284,0.012664469522240075,7.0
0.05499999999999988,0.017901548583035828,0.0010213385514056608,0.034781758614665995,0.008579527903320875,0.0027054730252377276,0.014453582781404021,7.0
0.0749999999999999,0.01721403506949371,0.0017831309168680701,0.03264493922211935,0.008763101805258239,0.0029001670803085926,0.014626036530207887,7.0
0.09499999999999986,0.01681827671715679,0.0016687576365700934,0.03196779579774348,0.007637855237346392,0.0026503257321190184,0.012625384742573766,7.0
0.11499999999999982,0.015571935104858829,0.00042447725441848577,0.03071939295529917,0.006325703747211602,0.0022443480563186036,0.010407059438104601,7.0
0.13499999999999984,0.013149152426931082,0.0008268081009247547,0.02547149675293741,0.0049942230422832965,0.0018118919399272176,0.008176554144639376,7.0
