sid,case,feature,align,win_start,win_end,win_center_ms,win_center_stim_aligned_ms,peak_time_ms,peak_time_stim_aligned_ms,win_len_ms,reaction_time_ms
20200327,case_i,C,sacc,-100.00000000000003,49.999999999999964,-25.000000000000032,210.43750000021643,40.0000000372529,275.43750003746936,150.0,235.43750000021646
20200327,case_i,S,sacc,-2.0816681711721685e-14,49.99999999999998,24.99999999999998,260.43750000021646,40.0000000372529,275.43750003746936,50.0,235.43750000021646
20200327,case_ii,C,sacc,-2.0816681711721685e-14,49.99999999999998,24.99999999999998,260.43750000021646,20.000000251457095,255.43750025167355,50.0,235.43750000021646
20200327,case_ii,S,sacc,-200.0,-100.0,-150.0,85.43750000021646,-109.99999940395355,125.43750059626291,100.0,235.43750000021646
20200327,case_iii,C,sacc,-100.00000000000003,-2.7755575615628914e-14,-50.00000000000003,185.43750000021643,-10.000000009313226,225.43749999090323,100.0,235.43750000021646
20200327,case_iii,S,sacc,-100.00000000000003,49.999999999999964,-25.000000000000032,210.43750000021643,-99.99999962747097,135.4375003727455,150.0,235.43750000021646
20200327,case_iv,C,stim,400.00000000000006,500.0000000000001,450.0000000000001,450.0000000000001,469.9999988079071,469.9999988079071,100.00000000000006,235.43750000021646
20200327,case_iv,S,sacc,-2.0816681711721685e-14,49.99999999999998,24.99999999999998,260.43750000021646,40.0000000372529,275.43750003746936,50.0,235.43750000021646
20200327,case_v,C,stim,20.0,70.0,45.0,45.0,50.00000074505806,50.00000074505806,50.0,235.43750000021646
20200327,case_v,S,sacc,-200.0,-100.0,-150.0,85.43750000021646,-109.99999940395355,125.43750059626291,100.0,235.43750000021646
20200327,case_vi,C,stim,199.99999999999997,449.99999999999994,324.99999999999994,324.99999999999994,219.9999988079071,219.9999988079071,249.99999999999997,235.43750000021646
20200327,case_vi,S,sacc,-2.0816681711721685e-14,49.99999999999998,24.99999999999998,260.43750000021646,40.0000000372529,275.43750003746936,50.0,235.43750000021646
20200328,case_i,C,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,248.3000000000902,0.0,243.30000000009022,50.0,243.30000000009022
20200328,case_i,S,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,248.3000000000902,-10.000000009313226,233.299999990777,50.0,243.30000000009022
20200328,case_ii,C,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,248.3000000000902,10.000000009313226,253.30000000940345,50.0,243.30000000009022
20200328,case_ii,S,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,248.3000000000902,10.000000009313226,253.30000000940345,50.0,243.30000000009022
20200328,case_iii,C,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,248.3000000000902,0.0,243.30000000009022,50.0,243.30000000009022
20200328,case_iii,S,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,248.3000000000902,10.000000009313226,253.30000000940345,50.0,243.30000000009022
20200328,case_iv,C,stim,279.99999999999994,329.99999999999994,304.99999999999994,304.99999999999994,280.0000011920929,280.0000011920929,50.0,243.30000000009022
20200328,case_iv,S,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,248.3000000000902,-10.000000009313226,233.299999990777,50.0,243.30000000009022
20200328,case_v,C,stim,259.99999999999994,309.99999999999994,284.99999999999994,284.99999999999994,299.99999701976776,299.99999701976776,50.0,243.30000000009022
20200328,case_v,S,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,248.3000000000902,10.000000009313226,253.30000000940345,50.0,243.30000000009022
20200328,case_vi,C,stim,219.99999999999997,269.99999999999994,244.99999999999994,244.99999999999994,259.99999046325684,259.99999046325684,49.99999999999997,243.30000000009022
20200328,case_vi,S,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,248.3000000000902,-10.000000009313226,233.299999990777,50.0,243.30000000009022
20200401,case_i,C,sacc,-180.00000000000003,-80.00000000000001,-130.00000000000003,108.14999999990502,-89.99999985098839,148.15000014891666,100.00000000000001,238.14999999990505
20200401,case_i,S,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,243.14999999990502,10.000000009313226,248.15000000921827,50.0,238.14999999990505
20200401,case_ii,C,sacc,-100.00000000000003,-50.00000000000003,-75.00000000000003,163.14999999990502,-89.99999985098839,148.15000014891666,50.0,238.14999999990505
20200401,case_ii,S,sacc,-2.0816681711721685e-14,49.99999999999998,24.99999999999998,263.14999999990505,40.0000000372529,278.15000003715795,50.0,238.14999999990505
20200401,case_iii,C,sacc,-40.00000000000002,9.99999999999998,-15.000000000000021,223.14999999990502,-30.00000026077032,208.14999973913473,50.0,238.14999999990505
20200401,case_iii,S,sacc,-2.0816681711721685e-14,49.99999999999998,24.99999999999998,263.14999999990505,40.0000000372529,278.15000003715795,50.0,238.14999999990505
20200401,case_iv,C,stim,140.0,190.0,165.0,165.0,170.00000178813934,170.00000178813934,50.0,238.14999999990505
20200401,case_iv,S,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,243.14999999990502,10.000000009313226,248.15000000921827,50.0,238.14999999990505
20200401,case_v,C,stim,140.0,190.0,165.0,165.0,170.00000178813934,170.00000178813934,50.0,238.14999999990505
20200401,case_v,S,sacc,-2.0816681711721685e-14,49.99999999999998,24.99999999999998,263.14999999990505,40.0000000372529,278.15000003715795,50.0,238.14999999990505
20200401,case_vi,C,stim,340.0,390.0,365.0,365.0,349.9999940395355,349.9999940395355,50.0,238.14999999990505
20200401,case_vi,S,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,243.14999999990502,10.000000009313226,248.15000000921827,50.0,238.14999999990505
