t,mu_AB,lo_AB,hi_AB,p_stouffer_AB,sig_AB,mu_BA,lo_BA,hi_BA,p_stouffer_BA,sig_BA
-0.16499999999999998,0.000849979954402694,0.0005542965602215524,0.0011456633485838355,0.08301284784049734,0,0.0006408806364049119,0.00043709559983783124,0.0008446656729719925,0.23902266816488038,0
-0.14500000000000002,0.001103185298479001,0.0007108420607376345,0.0014955285362203677,0.0688235558896848,0,0.0007380986603773307,0.0005473979561260374,0.000928799364628624,0.31157736734358665,0
-0.125,0.001316702674497924,0.0008078216500986098,0.0018255836988972382,0.06745456985978304,0,0.0008554088246553036,0.0007072267571701213,0.0010035908921404858,0.32371466785695546,0
-0.10500000000000002,0.0015634601395186358,0.0009409704037683691,0.0021859498752689025,0.05373411817389395,0,0.0009787667988587643,0.0008413824819232223,0.0011161511157943063,0.3748738170190976,0
-0.08500000000000003,0.0017249651312502758,0.0010711859787723983,0.0023787442837281533,0.07116786667643471,0,0.001136251117756114,0.0009386757084487406,0.0013338265270634872,0.40461987081238904,0
-0.06500000000000004,0.0016691859458743098,0.0009379489875373708,0.0024004229042112486,0.12467982731274929,0,0.00111221133384725,0.0008542659728039634,0.0013701566948905368,0.46274227125265577,0
-0.045000000000000054,0.0016078219170881796,0.0008452270720086066,0.0023704167621677527,0.1685015632183673,0,0.0011107206299181634,0.0007886416562982439,0.0014327996035380828,0.518430328270632,0
-0.025000000000000064,0.0015211568667992655,0.0008427239828320993,0.0021995897507664317,0.20215414273707166,0,0.0011074860474483146,0.0007548838097130987,0.0014600882851835304,0.5640527652302323,0
-0.005000000000000074,0.0014450061627329484,0.0008514439928848492,0.0020385683325810475,0.25980603110565226,0,0.0010466953878554158,0.0006948861927010175,0.001398504583009814,0.7116512904655085,0
0.014999999999999916,0.0014215360082426684,0.0008462273930604565,0.0019968446234248805,0.31966162685857724,0,0.0011655428343703038,0.0006566367372868772,0.0016744489314537304,0.6338734955186763,0
0.034999999999999906,0.0017014582874274049,0.0008709000218708146,0.002532016552983995,0.21034250311691483,0,0.0014046624607889039,0.0005954999481548068,0.0022138249734230007,0.546024919578497,0
0.054999999999999896,0.0020879006176504865,0.000832569695631205,0.003343231539669768,0.20637399548675028,0,0.0018556767156179279,0.0006076048404754957,0.00310374859076036,0.5026052044937339,0
0.07499999999999989,0.0028001427449249232,0.0009592687286971479,0.004641016761152699,0.17574780260648504,0,0.0024668832158249014,0.0007397047201511005,0.004194061711498703,0.4810785521496862,0
0.0949999999999999,0.003916504360982854,0.0013271433408446162,0.006505865381121093,0.14839486807999513,0,0.003410436354574705,0.0012139465044788142,0.0056069262046705955,0.36688120315553874,0
0.11499999999999987,0.0058506917227655305,0.0020562524848103114,0.00964513096072075,0.043780328379640965,0,0.0045817822947011545,0.0018427454712754512,0.007320819118126858,0.28789819438329745,0
0.13499999999999984,0.008027668726275198,0.0028089782100759316,0.013246359242474463,0.02275059274284097,1,0.006264422142421189,0.0025933506082138546,0.009935493676628524,0.20671233638036712,0
0.15499999999999986,0.010720496164281878,0.00370556199121096,0.017735430337352795,0.009655137443502326,1,0.00843169764086394,0.0037156195653221032,0.013147775716405777,0.07412537115773099,0
