t,mu,lo,hi,p_stouffer,sig_fdr,n_sessions
-0.16499999999999998,0.00013467365268758419,5.475621292349672e-05,0.00021459109245167165,0.7650759810065476,0,12.0
-0.14500000000000002,0.00015115399129541992,5.540860008646378e-05,0.00024689938250437607,0.6445592437898146,0,12.0
-0.125,0.00018681783168626685,8.203915636293244e-05,0.00029159650700960127,0.31590495569349386,0,12.0
-0.10500000000000002,0.00020711878576538413,0.00011698364599296889,0.0002972539255377994,0.12255225251798785,0,12.0
-0.08500000000000003,0.00018116725490376702,0.00012225080609155588,0.00024008370371597816,0.0984903359930076,0,12.0
-0.06500000000000004,0.00017057362578521326,0.00010126284626849173,0.0002398844053019348,0.15283086819099778,0,12.0
-0.045000000000000054,0.00020887232218388894,0.00011173515693159713,0.00030600948743618076,0.10067589976732405,0,12.0
-0.025000000000000064,0.00016644962650981456,7.861928134856516e-05,0.00025427997167106397,0.42309635729155526,0,12.0
-0.005000000000000074,0.0001867789351120883,9.232230062048826e-05,0.00028123556960368834,0.18923738459743633,0,12.0
0.014999999999999916,0.0001413734825306114,7.707020851666992e-05,0.00020567675654455288,0.41053400030469145,0,12.0
0.034999999999999906,0.0002076265117563908,0.00010279558974578315,0.00031245743376699843,0.18212370221077445,0,12.0
0.054999999999999896,0.00033741251423374325,0.00014372237103989143,0.0005311026574275951,0.041962338694700896,1,12.0
0.07499999999999989,0.00036696627356025256,0.00018544124049370538,0.0005484913066267997,0.099539009671061,0,12.0
0.0949999999999999,0.0004503989173443229,0.00016888272815614576,0.0007319151065325001,0.1772454804880712,0,12.0
0.11499999999999987,0.0005965274256384718,0.00017343312694986118,0.0010196217243270823,0.25958909525352925,0,12.0
0.13499999999999984,0.000965543803582899,0.0002433342327575758,0.0016877533744082223,0.2591297377538647,0,12.0
0.15499999999999986,0.0015988019034659472,0.000599363856679937,0.0025982399502519574,0.008688455304019072,1,12.0
0.17499999999999988,0.0020059087457689226,0.0007246777027654456,0.0032871397887723995,0.01412279785803816,1,12.0
0.19499999999999984,0.0023356419575702248,0.0011086971047204776,0.003562586810419972,0.004163030570977,1,12.0
0.2149999999999998,0.00248191021014484,0.0010716570565278308,0.003892163363761849,0.006074040422015536,1,12.0
0.23499999999999982,0.002376600788167673,0.0010950953107927103,0.003658106265542636,0.014246767355757695,1,12.0
0.25499999999999984,0.0024387601015105867,0.001320710404415121,0.003556809798606052,0.00044250157706793303,1,12.0
0.2749999999999998,0.0018264339558255237,0.0010093146003742086,0.002643553311276839,0.01276441603037215,1,12.0
0.29499999999999976,0.0014372432123115576,0.000736533869245114,0.0021379525553780012,0.03829748111418574,1,12.0
0.3149999999999998,0.0011521009172069223,0.0006744506770546191,0.0016297511573592255,0.01184563111477277,1,12.0
0.3349999999999998,0.0007957863705245286,0.0004552849910690027,0.0011362877499800546,0.04143677240294419,1,12.0
0.3549999999999998,0.0004926193718927741,0.0002688118691055537,0.0007164268746799945,0.18430521301242175,0,12.0
0.3749999999999997,0.00034125925417469996,0.00015051924126327696,0.000531999267086123,0.2074103531948509,0,12.0
0.39499999999999974,0.0002823364150631828,0.00011792982389727971,0.0004467430062290858,0.5313112179189489,0,12.0
0.41499999999999976,0.00024660664876279085,0.00012006118197787331,0.0003731521155477084,0.3289279120447117,0,12.0
0.43499999999999966,0.0001552980594707251,9.660978346222302e-05,0.00021398633547922716,0.6841481689075825,0,12.0
0.4549999999999997,8.734025347821303e-05,3.656867005009707e-05,0.000138111836906329,0.9854998721939086,0,12.0
0.4749999999999997,0.000108192829536581,4.2784028814188275e-05,0.0001736016302589737,0.9490752035756599,0,12.0
0.4949999999999997,0.00014380155971128311,6.068923376816134e-05,0.00022691388565440488,0.805005688492862,0,12.0
0.5149999999999997,0.00016546130020800827,9.150480308526125e-05,0.00023941779733075528,0.41380676148596385,0,12.0
0.5349999999999996,0.00019083514311219764,4.673749938326468e-05,0.0003349327868411306,1.0,0,12.0
0.5549999999999996,0.0002094027370573926,6.475862804175293e-05,0.0003540468460730323,0.39723131779962206,0,12.0
0.5749999999999996,0.00019272506703746546,6.286582914889516e-05,0.00032258430492603576,0.36383467455436924,0,12.0
0.5949999999999995,0.00024245497622103998,7.29570055444367e-05,0.00041195294689764324,0.11856924956650094,0,12.0
0.6149999999999995,0.00023821156205971645,6.514519257299806e-05,0.00041127793154643487,0.11436877758678521,0,12.0
0.6349999999999996,0.0003254666703233163,0.00012387251375093727,0.0005270608268956953,0.009286339164102486,1,12.0
0.6549999999999996,0.00038077876909564483,0.00015482483315688319,0.0006067327050344065,0.002084365484258721,1,12.0
0.6749999999999996,0.00036441006754174294,0.0001331996213659616,0.0005956205137175243,0.012081432434358774,1,12.0
0.6949999999999995,0.0003419196902921757,0.00015787526554024108,0.0005259641150441103,0.016314116516354726,1,12.0
0.7149999999999995,0.00030310544915556503,0.00017820447376689147,0.0004280064245442386,0.0017108760895848674,1,12.0
