t,mu_AB,lo_AB,hi_AB,p_stouffer_AB,sig_AB,mu_BA,lo_BA,hi_BA,p_stouffer_BA,sig_BA
-0.16499999999999998,0.00046568744852311925,0.0001388987391743486,0.0007924761578718899,0.008588291888332322,1,0.00015716741753867748,6.620877463769688e-05,0.0002481260604396581,0.862765422937442,0
-0.14500000000000002,0.0004340454022474856,0.00011029386346802974,0.0007577969410269414,0.04950903572302212,1,0.00014749837957783024,7.426373845420366e-05,0.00022073302070145683,0.7957422414769297,0
-0.125,0.0004787195842464753,0.00016430509483002768,0.000793134073662923,0.017060899006477337,1,0.00019493934294455344,9.271092316853416e-05,0.0002971677627205727,0.662940365624719,0
-0.10500000000000002,0.00046243866354991214,7.782515172858348e-05,0.0008470521753712408,0.06259581969307981,0,0.00019994237534802143,7.811699539451166e-05,0.0003217677553015312,0.5734985353241513,0
-0.08500000000000003,0.0003443500750294156,0.000121202739825731,0.0005674974102331002,0.13124365745985433,0,0.00022991189086716895,0.00011368724642037621,0.0003461365353139617,0.5481505610145223,0
-0.06500000000000004,0.00040898669723353004,8.52265041090202e-05,0.00073274689035804,0.21494629585649871,0,0.00022293231088280034,0.00010125414311223174,0.0003446104786533689,0.5155477890353585,0
-0.045000000000000054,0.0005449526451326798,0.00018684710349628036,0.0009030581867690794,1.0,0,0.0002979276366784373,0.00012281858177012482,0.0004730366915867498,0.2539629054399737,0
-0.025000000000000064,0.0005293443612601487,0.00016502367897050822,0.0008936650435497892,0.010754515688695454,1,0.00029348729606050255,0.00010465591472647745,0.00048231867739452765,0.47406509695595633,0
-0.005000000000000074,0.0005685421059656363,0.0002717622883319551,0.0008653219235993175,0.003689262993280762,1,0.00033956505614781383,0.00011482627306516927,0.0005643038392304584,0.2090527457889494,0
0.014999999999999916,0.0005277783441448002,0.00027480907383782175,0.0007807476144517788,0.005618556544781272,1,0.00037192513810640137,0.00017397899490655645,0.0005698712813062463,0.05593362369377508,0
0.034999999999999906,0.00039337572173065853,0.00022464081669763437,0.0005621106267636827,0.022310855809986263,1,0.0004418167414949893,0.00019800103302286155,0.0006856324499671171,0.028551022999637632,0
0.054999999999999896,0.0005309056612474092,0.00029306536147738233,0.000768745961017436,0.004107910065614395,1,0.0006596006822096211,0.0001090623582282686,0.0012101390061909738,0.050488978440758725,0
0.07499999999999989,0.0008252192557764951,0.00044812223419084675,0.0012023162773621434,0.017479826997135905,1,0.0009252240267634156,0.00019884652120378946,0.0016516015323230417,0.6182483084738765,0
0.0949999999999999,0.002099529482144084,0.0011092740263561535,0.003089784937932014,0.00016673945741774165,1,0.0018501822061994548,0.0007629939999575887,0.0029373704124413206,0.515343061143051,0
0.11499999999999987,0.003704984526812866,0.0019856811909810413,0.005424287862644691,0.0006296686548277197,1,0.003633261129585072,0.001844214040161413,0.00542230821900873,0.16420563120051535,0
0.13499999999999984,0.005973289748835534,0.003386953723882621,0.008559625773788448,0.00012088292420997515,1,0.00517293063648392,0.003069643408918622,0.007276217864049219,0.07679405540151685,0
