t,mean_diff,ci_lo,ci_hi,null_mu_mean,meta_p,fdr_sig,frac_sig_sessions
-0.16499999999999998,0.0001355280718805264,-0.0003569402953953972,0.0006279964391564499,6.665465322811531e-06,0.908196492034322,0,0.25
-0.14500000000000002,9.230470444009765e-05,-0.0004223761312302393,0.0006069855401104347,-7.2404947967886e-06,0.9365836083508071,0,0.25
-0.125,5.121697063293772e-07,-0.00037865689346463556,0.0003796812328772943,4.455861743908881e-06,0.9256896074136151,0,0.25
-0.10500000000000002,4.2493836960473205e-05,-0.00040369700554620055,0.0004886846794671469,-1.660576988639134e-07,0.7803608428270803,0,0.16666666666666666
-0.08500000000000003,-0.00014516597979948728,-0.0005421326559782461,0.00025180069637927146,-6.277534702236025e-06,0.00013127635440760843,1,0.0
-0.06500000000000004,0.00010470345735284677,-0.0002038130583581741,0.00041321997306386764,-2.293901105668354e-06,0.23517483421463686,0,0.08333333333333333
-0.045000000000000054,3.664228583612249e-05,-0.00037408116977423087,0.00044736574144647585,-1.1870086231132837e-05,0.8663188604631326,0,0.25
-0.025000000000000064,0.0002298891744558685,-0.00024482360106466475,0.0007046019499764017,-1.0018654933590125e-05,0.790811601282434,0,0.25
-0.005000000000000074,0.00022457420217759523,-0.00021321834766887358,0.0006623667520240641,2.2161566454852857e-06,0.7051591548811593,0,0.25
0.014999999999999916,0.0002399290384686975,-0.0003288776635717403,0.0008087357405091352,9.946651966817167e-06,0.9906444118666643,0,0.3333333333333333
0.034999999999999906,0.00012600865363008334,-0.00036829920588558657,0.0006203165131457533,1.308162052690216e-05,0.9690599710610726,0,0.3333333333333333
0.054999999999999896,0.00018141679809636894,-0.0002748357642784617,0.0006376693604711995,1.8546226071461015e-05,0.9213161905569177,0,0.25
0.07499999999999989,0.00011528527231982568,-0.00036793811741091357,0.000598508662050565,3.0032679227929867e-06,0.6596041885579859,0,0.16666666666666666
0.0949999999999999,-0.0002063058252191617,-0.0006541121091832553,0.00024150045874493195,1.8866616606390765e-05,0.10992546024407265,0,0.08333333333333333
0.11499999999999987,-0.00021981417809035876,-0.0006245733356851899,0.00018494497950447244,3.775551929483306e-05,0.11688844151911387,0,0.0
0.13499999999999984,-0.0003533835607460488,-0.0008166485058598862,0.00010988138436778862,3.6987314305125e-05,0.8099140516876995,0,0.08333333333333333
0.15499999999999986,-5.0042002339537526e-05,-0.00037652748968859315,0.00027644348500951814,6.430423285849555e-05,0.7454204004190336,0,0.08333333333333333
0.17499999999999988,0.00018355650653796747,-0.000134917609680632,0.0005020306227565669,1.555297830537671e-05,0.17495720655464492,0,0.0
0.19499999999999984,0.00030777872309754824,-1.6757573133692146e-06,0.0006172332035084657,9.321592649121186e-06,0.0252570625510702,0,0.0
0.2149999999999998,0.0002042687523670101,-8.476249103070354e-05,0.0004932999957647237,2.5803638690711267e-05,0.12188955126687318,0,0.16666666666666666
0.23499999999999982,9.694058638803041e-05,-0.00021876224447443115,0.000412643417250492,1.3509510189890854e-05,0.754403062700147,0,0.08333333333333333
0.25499999999999984,-0.00013172794193583054,-0.0004497573551484365,0.0001863014712767754,1.4404484138849688e-05,0.8044480921638018,0,0.0
0.2749999999999998,-0.00021247961479651462,-0.0006896863519311038,0.00026472712233807465,2.0782773784516284e-05,0.31943514146143764,0,0.08333333333333333
0.29499999999999976,-8.462819933986695e-05,-0.0004890205321110258,0.0003197641334312919,3.395327589189967e-05,0.7403615532608154,0,0.08333333333333333
0.3149999999999998,6.78733210002571e-05,-0.00044189368554982286,0.000577640327550337,5.4261056871060244e-05,0.28931212534271666,0,0.08333333333333333
0.3349999999999998,0.00028083437450646055,-0.00018896083861989342,0.0007506295876328145,4.9692897824501754e-05,0.41881625301463826,0,0.25
0.3549999999999998,0.0002587479689153507,-0.0002589398143783167,0.0007764357522090182,4.7684377992814233e-05,0.4478243883749362,0,0.16666666666666666
0.3749999999999997,0.0003869053468941946,-7.561666628380897e-05,0.0008494273600721982,2.531776457842327e-05,0.014003917847795182,0,0.3333333333333333
0.39499999999999974,0.0003540838573377397,-2.4569617455096494e-05,0.0007327373321305759,3.399848425943497e-05,0.7015757929270794,0,0.16666666666666666
0.41499999999999976,0.000491914502305611,0.00016032879333419266,0.0008235002112770294,3.3423604812969484e-05,0.03941387149994607,0,0.3333333333333333
0.43499999999999966,0.0003646815619544241,3.5798851853615396e-05,0.0006935642720552328,2.7025319256177545e-05,0.7757680760522567,0,0.16666666666666666
0.4549999999999997,0.0004055933439383971,-1.087810661081699e-05,0.0008220647944876113,1.796569672395199e-05,0.9974704727003743,0,0.3333333333333333
0.4749999999999997,0.00027899860621550805,-0.00018641139823081967,0.0007444086106618358,2.2218309664044047e-05,0.19681979302339767,0,0.08333333333333333
0.4949999999999997,0.00021635598793754804,-0.0001345614219813935,0.0005672733978564896,1.1043418090155301e-05,0.6409176428002884,0,0.08333333333333333
0.5149999999999997,0.00021036085558167946,-0.00012359557271096716,0.0005443172838743261,6.255773676485111e-07,0.4736925732844481,0,0.16666666666666666
0.5349999999999996,0.000285079751305948,-7.64126660477953e-05,0.0006465721686596912,6.367167078526593e-06,0.4544147088677768,0,0.16666666666666666
0.5549999999999996,0.00025982286656852564,-7.168441989722769e-05,0.000591330153034279,6.730976770739191e-06,0.8420217146322726,0,0.16666666666666666
0.5749999999999996,0.00030121803475527154,-0.00012493155042116974,0.0007273676199317128,1.7014750544332074e-05,0.9529171847080982,0,0.16666666666666666
