t,mean_diff,ci_lo,ci_hi,null_mu_mean,p_display,sig,frac_sig_sessions,p_meta,fdr_sig
-0.16499999999999998,-9.100105831504538e-05,-0.00031605941258408256,0.00013405729595399182,3.0156425695912753e-06,0.6770807908225531,0,0.0,0.1452630343357283,0
-0.14500000000000002,-8.735341246993199e-05,-0.00034482186865728866,0.00017011504371742468,3.868684431302028e-06,0.6460824993897974,0,0.0,0.1683956078096343,0
-0.125,-4.934712899734199e-05,-0.0003075702055952906,0.00020887594760060662,4.187011914062008e-06,0.5740785940932389,0,0.0,0.5381333053911522,0
-0.10500000000000002,-6.287901912173812e-05,-0.0003275257762384097,0.0002017677379949335,4.07768819858427e-06,0.5831095923846717,0,0.0,0.5456967299926674,0
-0.08500000000000003,2.6341678638391143e-05,-0.00026652820333285585,0.0003192115606096381,-7.975993865281856e-07,0.4671711008054674,0,0.0,0.43652149096723836,0
-0.06500000000000004,9.283843670472584e-05,-0.00020957319660182185,0.00039525007001127356,-6.779058674959249e-06,0.38564803514766904,0,0.0,0.39454234928219917,0
-0.045000000000000054,0.0002866892661822021,-3.88786076205189e-05,0.0006122571399849231,-5.431457017790216e-06,0.2052721503539175,0,0.08333333333333333,0.6996786815528835,0
-0.025000000000000064,0.0004731767736089083,1.642238198778465e-05,0.0009299311652300319,2.3145304949232827e-05,0.10422260190383208,0,0.08333333333333333,0.7332636481305815,0
-0.005000000000000074,0.0006193563877300119,3.690798926553806e-07,0.0012383436955673683,5.412004499401234e-05,0.06077617769099341,0,0.08333333333333333,0.7075516280609301,0
0.014999999999999916,0.000847587840501516,-1.131647162612025e-05,0.0017064921526291521,0.00010975584555198765,0.02880156211862338,1,0.08333333333333333,0.7151788958195466,0
0.034999999999999906,0.001028464158481397,-5.009668811813898e-05,0.0021070250050809333,0.0001767933374423906,0.02660483280449109,1,0.08333333333333333,0.7670598244819682,0
0.054999999999999896,0.0014009787738730002,0.00010440402018649202,0.0026975535275595083,0.0002905961039576536,0.014888943129118867,1,0.16666666666666666,0.6262124490136275,0
0.07499999999999989,0.0016765571889704482,0.00017266029937527396,0.0031804540785656224,0.0004254317355504038,0.021479131071515743,1,0.25,0.8671961675467575,0
0.0949999999999999,0.0020693797620612467,0.0003639280008580076,0.0037748315232644858,0.0006389338090828293,0.027337075909201855,1,0.25,0.39486491413734753,0
0.11499999999999987,0.0025044425221919285,0.0007652635157285865,0.00424362152865527,0.0007776938922630229,0.026360751769587503,1,0.16666666666666666,0.32383180896122266,0
0.13499999999999984,0.0028994378322541995,0.00103294385193462,0.004765931812573779,0.0008523660623794122,0.026360751769587503,1,0.08333333333333333,0.2551120084677834,0
0.15499999999999986,0.0030893734111455116,0.001136184616529254,0.005042562205761769,0.0008999272209898046,0.034659506956309497,1,0.08333333333333333,0.22655164771567243,0
0.17499999999999988,0.003528022082993368,0.001406518304915064,0.005649525861071671,0.0010071023355195362,0.02928972418843056,1,0.16666666666666666,0.28092587248850714,0
0.19499999999999984,0.0037628337461121544,0.001512362717498945,0.006013304774725364,0.0010224714825091653,0.029777886258237733,1,0.16666666666666666,0.7685196756264357,0
0.2149999999999998,0.004244983005553504,0.0018367296398974489,0.006653236371209559,0.0010904290539244155,0.022699536246033682,1,0.16666666666666666,0.8171645447796311,0
0.23499999999999982,0.004634131616225099,0.002082308041836291,0.007185955190613907,0.00110142804749581,0.013912618989504515,1,0.16666666666666666,0.8373380984874759,0
0.25499999999999984,0.004784755997912545,0.0021004152313274936,0.007469096764497597,0.0010298328648027909,0.010251403465950696,1,0.16666666666666666,0.818936542098702,0
0.2749999999999998,0.004756755125097263,0.00190558139251468,0.0076079288576798455,0.0010093050411064265,0.006834268977300464,1,0.16666666666666666,0.7812256984342768,0
0.29499999999999976,0.004592770048720543,0.0017217110206246824,0.007463829076816403,0.0009657339468215762,0.004149377593360996,1,0.16666666666666666,0.3419368416433236,0
0.3149999999999998,0.00450698412558046,0.001800543304867998,0.007213424946292923,0.000922563033365551,0.002196729314132292,1,0.16666666666666666,0.7541550503479556,0
0.3349999999999998,0.0038010867880681593,0.0014202991907900585,0.0061818743853462605,0.0007587640096597467,0.00366121552355382,1,0.16666666666666666,0.838726331038228,0
0.3549999999999998,0.0033100150953538575,0.0012040575719881427,0.005415972618719572,0.0006795236397364943,0.005369782767878936,1,0.25,0.879153952947324,0
0.3749999999999997,0.002461350697626504,0.0006593410264360753,0.004263360368816933,0.0004976113308405257,0.012936294849890163,1,0.16666666666666666,0.9376724882957607,0
0.39499999999999974,0.0017488802762044729,0.0002574113122413948,0.003240349240167551,0.0003617476727270752,0.030510129362948498,1,0.16666666666666666,0.6830454585524021,0
0.41499999999999976,0.0012038689714485328,8.514898448521357e-05,0.002322588958411852,0.00022145733240985693,0.06370515010983646,0,0.08333333333333333,0.25693713576418686,0
0.43499999999999966,0.0006592823005141729,-0.00010343041303839391,0.0014219950140667396,9.64184766981411e-05,0.1547473761288748,0,0.08333333333333333,0.419899861906149,0
0.4549999999999997,0.00029398819142842874,-0.00021871341815527028,0.0008066898010121277,2.5080017034967956e-05,0.2907005125701733,0,0.08333333333333333,0.8322097866287629,0
0.4749999999999997,0.00010969325251043644,-0.0002800001487788565,0.0004993866537997294,-1.4608189993098568e-06,0.3944349524041982,0,0.0,0.5154467564718845,0
0.4949999999999997,0.00017272260190557136,-0.0001547519971507689,0.0005001972009619116,-3.0367660708450566e-06,0.34049304369050526,0,0.0,0.38679947800126296,0
