t,mean_diff,ci_lo,ci_hi,null_mu_mean,meta_p,fdr_sig,frac_sig_sessions
-0.16499999999999998,-0.0004548718562763846,-0.0010267570714944509,0.00011701335894168167,-8.405543313345194e-06,0.025250029239316272,0,0.0
-0.14500000000000002,-0.00019596282452993548,-0.000609250531161354,0.00021732488210148303,-1.2434410276166734e-05,0.2964117176875688,0,0.0
-0.125,-0.0005957200090931945,-0.0010739615225144248,-0.00011747849567196421,-1.9444164737947088e-05,0.21539571232981852,0,0.0
-0.10500000000000002,-0.0006516101093839816,-0.0014313003654580882,0.00012808014669012492,-2.503612138692687e-05,0.03204848278838487,0,0.0
-0.08500000000000003,-0.00035286233986413576,-0.0010149728268717064,0.00030924814714343484,-2.7242199162261767e-05,0.000900218833422504,1,0.0
-0.06500000000000004,-0.0003196733619557539,-0.0011101665549290104,0.00047081983101750257,-2.0028675451445022e-05,3.502076829026105e-13,1,0.0
-0.045000000000000054,-0.00047300844923451734,-0.0017127691814422682,0.0007667522829732334,-1.0196538455887339e-05,4.715930067743385e-05,1,0.0
-0.025000000000000064,-0.0005262684919183585,-0.0016406407762476721,0.0005881037924109551,-1.829838465559321e-05,0.0004133674538695941,1,0.0
-0.005000000000000074,-0.0006658956512267637,-0.001772541830408756,0.0004407505279552284,-2.4412892725839842e-05,9.696142444801461e-07,1,0.14285714285714285
0.014999999999999916,-0.0005014034974184821,-0.001369838118873804,0.0003670311240368397,-1.4853086173490754e-05,0.0037686042450831942,1,0.0
0.034999999999999906,-0.00021008568135174463,-0.0014385547666886335,0.0010183834039851443,-1.8437147777078853e-05,0.0076550952870165865,1,0.14285714285714285
0.054999999999999896,-7.191790810480467e-05,-0.001132497360401893,0.0009886615441922837,-2.709177479449711e-05,0.4604915159241328,0,0.2857142857142857
0.07499999999999989,0.0001969353609787445,-0.0008641540111327233,0.0012580247330902124,-5.873874559459503e-05,0.952666902791281,0,0.2857142857142857
0.0949999999999999,0.00039288581789014796,-0.001079597107985718,0.001865368743766014,-5.190386836709325e-05,0.9996216085459775,0,0.2857142857142857
0.11499999999999987,0.00048748253234103455,-0.0006794010414493173,0.0016543661061313864,-2.8384992979680023e-05,0.990110181301245,0,0.2857142857142857
0.13499999999999984,0.0006612188826303722,-0.0007941944526544544,0.0021166322179151987,-1.6358254150474474e-05,0.797130313611827,0,0.2857142857142857
0.15499999999999986,6.600678023478157e-05,-0.0006817274108765719,0.0008137409713461351,-4.2588987995588736e-05,0.3600249666946517,0,0.14285714285714285
0.17499999999999988,6.626563029779356e-05,-0.0007194858871144729,0.0008520171477100601,-3.0834862406696034e-05,0.651593094996503,0,0.14285714285714285
