t,mean_diff,ci_lo,ci_hi,null_mu_mean,p_display,sig,frac_sig_sessions,p_meta,fdr_sig
-0.16499999999999998,-0.0002873057701293701,-0.0006000234709918856,2.5411930733145263e-05,5.394244235936425e-06,0.9282401757383452,0,0.0,0.012474375257964238,1
-0.14500000000000002,-0.0001887920762738148,-0.0003656243989610171,-1.1959753586612517e-05,1.0192552920265995e-05,0.8345130583353674,0,0.0,0.8468610219961659,0
-0.125,-0.000160417044089187,-0.00039834065091240683,7.750656273403287e-05,2.6815977474085166e-06,0.8037588479375153,0,0.09090909090909091,0.23694745262073355,0
-0.10500000000000002,-0.0005191681230857282,-0.0008249313491691377,-0.00021340489700231877,3.247097947490214e-06,0.997071027581157,0,0.0,0.004418477080121316,1
-0.08500000000000003,-0.0003514842667275685,-0.0006650997485017776,-3.786878495335946e-05,4.4265874917443e-06,0.9658286551134977,0,0.09090909090909091,0.055968065936382885,0
-0.06500000000000004,-0.00032620172181674535,-0.0005710320599260228,-8.137138370746793e-05,-1.4401873139006552e-06,0.9487429826702465,0,0.0,0.2716168498693059,0
-0.045000000000000054,-0.000372266734281381,-0.0006449806837899475,-9.955278477281443e-05,8.616260681127555e-06,0.9690017085672443,0,0.0,0.06134415522677465,0
-0.025000000000000064,-0.0002950490821307501,-0.0005257666512897934,-6.43315129717068e-05,3.0304195159090184e-06,0.9321454722968026,0,0.0,0.4271856418586099,0
-0.005000000000000074,-8.226777217545642e-05,-0.00030578233472443414,0.00014124679037352128,1.681167374119952e-05,0.6997803270685867,0,0.0,0.1603017874904893,0
0.014999999999999916,-0.00037027626847936217,-0.0006064250292819081,-0.00013412750767681625,1.5332688778800246e-05,0.9711984378813766,0,0.0,0.5716860929059041,0
0.034999999999999906,9.118159595065904e-05,-0.0001907151951436416,0.00037307838704495966,2.5993162175985513e-06,0.328777154015133,0,0.18181818181818182,0.4086979383905318,0
0.054999999999999896,0.0004185447921257304,-2.9140803536735504e-05,0.0008662303877881963,0.0001607695525875266,0.14888943129118867,0,0.18181818181818182,0.9917587906348169,0
0.07499999999999989,0.0001464124998066276,-0.0005549373461177755,0.0008477623457310307,0.0006323341235353869,0.9116426653649011,0,0.09090909090909091,0.003485764366395951,1
0.0949999999999999,0.0003493870534510222,-0.0006784784065508323,0.0013772525134528768,0.0015587840719263391,0.9936538930925067,0,0.09090909090909091,3.523166432322604e-05,1
0.11499999999999987,0.001497245493821953,0.00034989899548856654,0.0026445919921553396,0.0027391298562826935,0.9746155723700268,0,0.0,0.7624174830294397,0
0.13499999999999984,0.0001325194811715583,-0.0017190317814103242,0.001984070743753441,0.002634139908332926,0.9997559189650964,0,0.0,0.0483506477879109,0
0.15499999999999986,-0.0028343363828007015,-0.00525099599966507,-0.0004176767659363331,0.0013223298637827516,1.0,0,0.0,4.108893231258238e-05,1
0.17499999999999988,-0.005028249445012618,-0.0068918249955196255,-0.003164673894505611,-0.0008831271550004383,1.0,0,0.0,0.0067160401263602785,1
0.19499999999999984,-0.006847205643125168,-0.008686275569049625,-0.005008135717200711,-0.002815992286233131,1.0,0,0.0,0.0013466062332201435,1
0.2149999999999998,-0.008799608107925325,-0.010684311473952924,-0.006914904741897727,-0.004195065382767898,1.0,0,0.0,0.0022733015132430667,1
0.23499999999999982,-0.010172795977236852,-0.012094593873987817,-0.008250998080485888,-0.0050061146517937334,1.0,0,0.0,2.3986970130966187e-12,1
0.25499999999999984,-0.007994178156843274,-0.009676448897133785,-0.006311907416552762,-0.004039919781788282,1.0,0,0.0,4.29077025811423e-05,1
0.2749999999999998,-0.006628229040674036,-0.00839701788269083,-0.004859440198657243,-0.0030454775167043607,1.0,0,0.0,0.0008850501969975268,1
0.29499999999999976,-0.004821465550568773,-0.006328260006591856,-0.0033146710945456907,-0.0020471466488767784,1.0,0,0.09090909090909091,0.0004961863901616585,1
0.3149999999999998,-0.003186103668515018,-0.0043535313060434995,-0.0020186760309865368,-0.0014511886285318034,0.9985355137905785,0,0.18181818181818182,1.3004545539094672e-08,1
0.3349999999999998,-0.0015786081464143295,-0.002303790611974662,-0.0008534256808539968,-0.0008608118695789484,0.9487429826702465,0,0.09090909090909091,0.0007382213847368042,1
0.3549999999999998,-0.0012242598056796045,-0.0018414455689906,-0.0006070740423686089,-0.0006664704812616416,0.9253112033195021,0,0.09090909090909091,0.0002824488444011356,1
0.3749999999999997,-0.001192968886235578,-0.0018174283496279545,-0.0005685094228432016,-0.0004537918495018977,0.9895045154991458,0,0.09090909090909091,0.08353437819025503,0
0.39499999999999974,-0.0012983395183813094,-0.001984711307544587,-0.0006119677292180318,-0.0005199785267585236,0.9924334879179888,0,0.09090909090909091,0.0012665065841916878,1
0.41499999999999976,-0.0003729676400855083,-0.0007855999463738928,3.966466620287625e-05,-0.00026488359335298837,0.6590187942396876,0,0.09090909090909091,0.0007513983106287338,1
0.43499999999999966,-0.00010119870308413524,-0.00046521810253441216,0.0002628206963661417,-0.00010503967800349334,0.5008542836221626,0,0.18181818181818182,0.021593639045821757,1
0.4549999999999997,-0.00017556896356401934,-0.0005432980152582534,0.00019216008813021474,-7.341131532396737e-05,0.6582865511349768,0,0.09090909090909091,0.0005286745552531702,1
0.4749999999999997,-0.0006275544924140398,-0.0009671889772244842,-0.0002879200076035953,-0.00011953851425224554,0.9746155723700268,0,0.09090909090909091,0.7366117773239399,0
0.4949999999999997,-0.0008090305996378018,-0.0011518056201390084,-0.0004662555791365952,-0.000111108201996942,0.9968269465462534,0,0.0,0.8509155670734543,0
