t,mu,lo,hi,p_stouffer,sig_fdr,n_sessions
-0.16499999999999998,0.000673584987852592,0.0005220611811451344,0.0008251087945600497,0.052847993749122524,0,7.0
-0.14500000000000002,0.0006814140273436154,0.0004731728592921959,0.0008896551953950349,0.04796038264510005,0,7.0
-0.125,0.0005796736957238514,0.0003077248571873051,0.0008516225342603978,0.22790933840107253,0,7.0
-0.10500000000000002,0.000578883571343723,0.00031015540740118966,0.0008476117352862562,0.2292619725693601,0,7.0
-0.08500000000000003,0.0006944087595865346,0.0003805232761113147,0.0010082942430617546,0.08941242288795659,0,7.0
-0.06500000000000004,0.0005494316258669585,0.00029411780280676555,0.0008047454489271515,0.4009766210999982,0,7.0
-0.045000000000000054,0.0004398151994530102,0.00023773343743666998,0.0006418969614693504,0.7217561447090934,0,7.0
-0.025000000000000064,0.0004475277458787529,0.0003408535966930716,0.0005542018950644342,0.505285581353605,0,7.0
-0.005000000000000074,0.0004624011275351589,0.0003053165282386356,0.0006194857268316822,0.6428809156507462,0,7.0
0.014999999999999916,0.0003843918939353646,0.00028284001059780033,0.0004859437772729288,0.7318729431977916,0,7.0
0.034999999999999906,0.000482586729765111,0.00030423879199305097,0.000660934667537171,0.5135488192880044,0,7.0
0.054999999999999896,0.000683929942962274,0.0003913395075367195,0.0009765203783878285,0.15041880418016107,0,7.0
0.07499999999999989,0.0009537921775766438,0.00040115597725074944,0.001506428377902538,0.059470913852926244,0,7.0
0.0949999999999999,0.0015739803597980561,0.0007191060743361111,0.002428854645260001,0.00028045835334344904,1,7.0
0.11499999999999987,0.0018500288254486457,0.0008676945715929841,0.002832363079304307,0.0019040053031081916,1,7.0
0.13499999999999984,0.002517218766524184,0.000961777731674267,0.004072659801374101,0.0013588275566607244,1,7.0
0.15499999999999986,0.003121159397375732,0.0012758055814668004,0.004966513213284663,0.008271707920760374,1,7.0
0.17499999999999988,0.003951234601990069,0.0011637029645805417,0.006738766239399598,0.006064592856899642,1,7.0
0.19499999999999984,0.0043460805011817346,0.0013717311490951283,0.007320429853268341,0.021369492670646695,1,7.0
0.2149999999999998,0.005097757262812397,0.001444308286880287,0.008751206238744508,0.018681690933136874,1,7.0
0.23499999999999982,0.005379334748083098,0.0017894035070922655,0.00896926598907393,0.004796210557382441,1,7.0
0.25499999999999984,0.00585244081873642,0.002332970334271287,0.009371911303201554,4.903548015311454e-05,1,7.0
0.2749999999999998,0.005192433857845672,0.0020051036852222247,0.008379764030469118,0.0004526199607444159,1,7.0
0.29499999999999976,0.004888665379843467,0.0022526403826001566,0.007524690377086777,7.4001805960843825e-06,1,7.0
0.3149999999999998,0.004058250571630421,0.0017300795505668922,0.00638642159269395,8.748509777722902e-07,1,7.0
0.3349999999999998,0.0029723331342564577,0.00138957609003647,0.004555090178476445,1.1470504079458266e-05,1,7.0
0.3549999999999998,0.0020151611690782667,0.0009881249872758374,0.003042197350880696,0.00031038798229199305,1,7.0
0.3749999999999997,0.0014348824546346704,0.0005589230766949877,0.002310841832574353,0.017310452296934065,1,7.0
0.39499999999999974,0.0010885101187450776,0.0005422830335203776,0.0016347372039697775,0.052710826874946215,0,7.0
0.41499999999999976,0.0007859883081732614,0.0004478797476887661,0.0011240968686577566,0.27846899493522803,0,7.0
0.43499999999999966,0.0008507786452352348,0.00039615307597179797,0.0013054042144986715,0.14082456236988694,0,7.0
0.4549999999999997,0.0009080814550474542,0.00031206481806588264,0.0015040980920290256,0.11707183896621154,0,7.0
0.4749999999999997,0.0009977167997525858,0.0005985806225687556,0.001396852976936416,0.005003109245022452,1,7.0
0.4949999999999997,0.0007822448166526946,0.000518925049743367,0.0010455645835620222,0.0320241842742548,1,7.0
0.5149999999999997,0.0006801146797814256,0.00043250475284554063,0.0009277246067173105,0.08053542665587521,0,7.0
0.5349999999999996,0.0005676580736741307,0.00040074323534708216,0.0007345729120011792,0.23954353321435595,0,7.0
0.5549999999999996,0.000493114565334814,0.0002789227449711222,0.0007073063856985059,0.5517688070012869,0,7.0
0.5749999999999996,0.00039888370769176836,0.00021432730782710297,0.0005834401075564338,0.8017209128629597,0,7.0
0.5949999999999995,0.00045765155181649446,0.0002429171607351568,0.0006723859428978321,0.5864327773284994,0,7.0
0.6149999999999995,0.0005418805445618638,0.000298475079779363,0.0007852860093443646,0.3262190693661806,0,7.0
0.6349999999999996,0.0005399478833172617,0.0002521495313309309,0.0008277462353035926,0.4692892311069635,0,7.0
0.6549999999999996,0.0006188651949695848,0.0003401325348104984,0.0008975978551286712,0.19912075205263413,0,7.0
0.6749999999999996,0.0005310934641525499,0.0002786283113198022,0.0007835586169852977,0.4408716898288161,0,7.0
0.6949999999999995,0.0004583270171542466,0.00012459327318328306,0.0007920607611252101,0.7832706674327432,0,7.0
0.7149999999999995,0.000486981962832589,0.0001454403182744496,0.0008285236073907284,0.6914120073661963,0,7.0
