t,mu_AB,lo_AB,hi_AB,p_stouffer_AB,sig_AB,mu_BA,lo_BA,hi_BA,p_stouffer_BA,sig_BA
-0.16499999999999998,0.0252141200790957,0.017613586257899678,0.032814653900291715,4.084377414059759e-08,1,0.03175229954049967,0.020187564370894542,0.0433170347101048,6.147861109084829e-10,1
-0.14500000000000002,0.03053892250075171,0.02156061891213414,0.03951722608936928,1.3618506655710405e-08,1,0.03759458911359326,0.024108407823419668,0.05108077040376685,4.85996465293681e-10,1
-0.125,0.03607211742913336,0.025667735515702256,0.04647649934256447,3.3245753927602095e-09,1,0.04323108518694081,0.02778247191670484,0.058679698457176785,3.204831955372356e-10,1
-0.10500000000000002,0.041047597103179345,0.029556552909220952,0.05253864129713774,1.014927475395666e-09,1,0.04879595803904974,0.03156876030888921,0.06602315576921028,1.2096113000126252e-10,1
-0.08500000000000003,0.04581565543037166,0.0334310152186157,0.058200295642127614,4.704648892683849e-10,1,0.05532619136227313,0.03605236869415902,0.07460001403038724,1.8318013772500308e-11,1
-0.06500000000000004,0.050815625842542976,0.03767191839536925,0.0639593332897167,8.498213244223507e-11,1,0.062150062487717754,0.04043461069299319,0.08386551428244232,3.5528247011029634e-12,1
-0.045000000000000054,0.05192874511380251,0.03835194639628967,0.06550554383131535,1.2506218283192538e-11,1,0.062141031566688175,0.040928756967832144,0.0833533061655442,1.3277157151492247e-12,1
-0.025000000000000064,0.053432626185141406,0.03980176723879287,0.06706348513148994,7.728262474415715e-13,1,0.06233509741144999,0.041413646288839936,0.08325654853406005,5.264677582772492e-13,1
-0.005000000000000074,0.054218046222146,0.04079722458575317,0.06763886785853884,1.4280798765753389e-12,1,0.06314754349887168,0.041585963992198126,0.08470912300554523,2.2648549702353193e-12,1
0.014999999999999916,0.05508731238917369,0.04114756493182733,0.06902705984652005,3.7412295483818525e-12,1,0.06429405989690358,0.041948296609360405,0.08663982318444675,9.974021608627481e-12,1
0.034999999999999906,0.05646363097751781,0.04120672280752069,0.07172053914751493,7.019940184704865e-12,1,0.06504653050632274,0.041832699083904,0.08826036192874148,1.0000333894311098e-11,1
0.054999999999999896,0.05775249856575314,0.04145071252506659,0.07405428460643969,9.57900425646585e-12,1,0.0659971371322244,0.041966430821005346,0.09002784344344344,2.29657404204886e-11,1
0.07499999999999989,0.058305473799440545,0.041531260307344844,0.07507968729153625,8.927525385615809e-12,1,0.06708723976766162,0.04218201829151224,0.091992461243811,3.680622473467565e-11,1
0.0949999999999999,0.059283021794445716,0.0423582134831352,0.07620783010575624,2.9376501231581642e-12,1,0.06816739016111908,0.04268643462766547,0.0936483456945727,4.691791399835665e-11,1
0.11499999999999987,0.06054421425745414,0.04362083011236114,0.07746759840254713,1.5345502646368914e-12,1,0.06761187367904649,0.04198344374798547,0.09324030361010752,2.516769015414866e-10,1
0.13499999999999984,0.06121609291234734,0.04445808650954228,0.07797409931515241,1.0249578963339445e-12,1,0.06692751069984353,0.041564105503720694,0.09229091589596636,7.374310051488919e-10,1
