t,mu,lo,hi,p_stouffer,sig_fdr,n_sessions
-0.16499999999999998,0.008029197730276563,0.0001301381469315712,0.015928257313621554,0.8556114577234563,0,7.0
-0.14500000000000002,0.007628813583273715,0.00019774675590771614,0.015059880410639714,0.8166212648326256,0,7.0
-0.125,0.008242472364882366,0.0002582404574314346,0.016226704272333296,0.18420700732000106,0,7.0
-0.10500000000000002,0.00868071111131545,0.0004204209165831283,0.016941001306047775,0.018140738998248862,1,7.0
-0.08500000000000003,0.008768604261731849,-0.00021813423493269833,0.017755342758396395,0.09204622435560061,0,7.0
-0.06500000000000004,0.008720324956944933,-0.00039435007088991364,0.01783499998477978,0.18591523708542645,0,7.0
-0.045000000000000054,0.008563559143208135,-0.0007673722854989254,0.017894490571915195,0.14536925340771156,0,7.0
-0.025000000000000064,0.00857768492129656,-0.0011287793944779988,0.01828414923707112,0.5693777979011274,0,7.0
-0.005000000000000074,0.008657295446517608,-0.0013887825509146905,0.018703373443949907,0.7722037018218477,0,7.0
0.014999999999999916,0.009187485706135496,-0.0017247764702743307,0.020099747882545323,0.8314725434730786,0,7.0
0.034999999999999906,0.010123697858368138,-0.001417035214969371,0.02166443093170565,0.7833488197131726,0,7.0
0.054999999999999896,0.010845110927589854,-0.0014476307886800727,0.02313785264385978,0.7132350573465921,0,7.0
0.07499999999999989,0.01071464904516897,-0.001578712720127105,0.023008010810465045,0.40707986991874523,0,7.0
0.0949999999999999,0.010356426850339369,-0.0006974159003177612,0.021410269600996498,0.4284121054607424,0,7.0
0.11499999999999987,0.010004579562824462,4.404766616246565e-05,0.019965111459486456,0.38299831215249935,0,7.0
0.13499999999999984,0.009318310751771374,0.00011135053261679406,0.018525270970925954,0.14594479489689105,0,7.0
0.15499999999999986,0.008670770091867857,-0.00011906045500946483,0.017460600638745178,0.22901140392992925,0,7.0
0.17499999999999988,0.008028820987540328,0.0006599017004696199,0.015397740274611035,0.2558189065491415,0,7.0
0.19499999999999984,0.007041802205075714,0.0009486382065253358,0.013134966203626093,0.41835750289808327,0,7.0
0.2149999999999998,0.006311478508973233,0.00047841298567601314,0.012144544032270454,0.8900083775731498,0,7.0
0.23499999999999982,0.00669963974271995,0.0008341941380195714,0.012565085347420329,0.43191991266306506,0,7.0
0.25499999999999984,0.006353569003464944,0.00035051908276239555,0.012356618924167492,0.3678367871094368,0,7.0
0.2749999999999998,0.0066140237362699765,8.445061954734812e-05,0.013143596852992604,1.0,0,7.0
0.29499999999999976,0.007678821145751034,-0.0005163763858077293,0.0158740186773098,0.022763636875290594,1,7.0
0.3149999999999998,0.00794276519215554,-0.0012096468105073834,0.017095177194818463,0.030112536118834465,1,7.0
0.3349999999999998,0.007864765513292767,-0.0014458390567933365,0.01717537008337887,0.0813372732490546,0,7.0
0.3549999999999998,0.008404943360074727,-0.002263023385742668,0.01907291010589212,0.10208592528741656,0,7.0
0.3749999999999997,0.0076508960154310374,-0.0017428699431608977,0.017044661974022973,0.4926000950586872,0,7.0
0.39499999999999974,0.00764988818503137,-0.000762603404921249,0.01606237977498399,0.20482565754802673,0,7.0
0.41499999999999976,0.007577060028286809,-1.7324860551836373e-05,0.015171444917125455,0.22241423862385679,0,7.0
0.43499999999999966,0.00761685836454028,0.0010225126895627218,0.014211204039517839,0.05921222919247793,0,7.0
0.4549999999999997,0.007541445362278664,0.0014357185074638174,0.013647172217093509,0.025666559999283023,1,7.0
0.4749999999999997,0.00824762337868674,0.0021599763873382076,0.014335270370035274,0.0003401640763971425,1,7.0
0.4949999999999997,0.0074769272010941626,0.002791801700370934,0.012162052701817392,0.00032006534218897986,1,7.0
0.5149999999999997,0.007535724333717542,0.002820551883475286,0.012250896783959797,0.00039998965991905333,1,7.0
0.5349999999999996,0.007380023809861365,0.0021298001889426092,0.01263024743078012,0.0006083886129240046,1,7.0
0.5549999999999996,0.007201478952988625,0.002044413482916339,0.012358544423060912,0.002834989293365897,1,7.0
0.5749999999999996,0.0069015076949775845,0.001713858653303718,0.012089156736651452,0.014567638844656616,1,7.0
0.5949999999999995,0.006612420452416092,0.0007718698151869046,0.012452971089645281,0.06951513622498562,0,7.0
0.6149999999999995,0.006643252372171232,0.0005217921041143327,0.012764712640228132,0.07822581441552012,0,7.0
0.6349999999999996,0.005572165964121535,0.00017277937040485487,0.010971552557838216,0.4187767713855348,0,7.0
0.6549999999999996,0.005088073018663722,0.0002946130874890941,0.009881532949838349,0.5957369152176744,0,7.0
0.6749999999999996,0.005325865797495916,-0.00015587006843161607,0.010807601663423448,0.34818595840634636,0,7.0
0.6949999999999995,0.004952170333681402,0.0002935192120273322,0.009610821455335471,0.3121654161544003,0,7.0
0.7149999999999995,0.004739657893912984,-0.0001975595147322819,0.00967687530255825,0.3712846155025229,0,7.0
