feature,band_start,band_end,I_fwd,I_rev,I_diff,pID_diff,S_fwd_bits,S_rev_bits,zrobust_fwd,zrobust_rev
C,0.12,0.28,0.037315796070897946,0.019775847762801425,0.01753994830809652,0.08782435129740519,4.798741791752896,1.5763493704164482,2.408023262139383,0.4188089444161189
R,0.12,0.28,0.005866448327742865,0.011167775512878852,-0.005301327185135987,0.9421157684630739,0.28567220951352545,3.037929455632322,-0.8164391788960714,1.416922046579718
