t,C_mu,C_lo,C_hi,nC
-0.16499999999999998,0.0006058682226600701,0.0003132416281228257,0.0008984948171973146,7.0
-0.14500000000000002,0.0007676714697372855,0.00039572597967541825,0.0011396169597991527,7.0
-0.125,0.0009109016298296628,0.0005143586936210002,0.0013074445660383254,7.0
-0.10500000000000002,0.00102434325777292,0.0006168031834438663,0.0014318833321019736,7.0
-0.08500000000000003,0.0011605338045191324,0.0007391512050680638,0.0015819164039702009,7.0
-0.06500000000000004,0.001100889566536101,0.0006759164745900275,0.0015258626584821748,7.0
-0.045000000000000054,0.0010712191961379954,0.000674203307999709,0.0014682350842762817,7.0
-0.025000000000000064,0.0011136954370298533,0.0006643572406564782,0.0015630336334032284,7.0
-0.005000000000000074,0.0010211273844349153,0.0005607063865663411,0.0014815483823034893,7.0
0.014999999999999916,0.0009526195159752568,0.0005198005514441053,0.0013854384805064082,7.0
0.034999999999999906,0.0009095820082013739,0.0005320505165187898,0.001287113499883958,7.0
0.054999999999999896,0.0008958009387656082,0.0005766008251828481,0.0012150010523483683,7.0
0.07499999999999989,0.0009489663782671078,0.0006730981614078905,0.0012248345951263251,7.0
0.0949999999999999,0.001043424475564471,0.0007107339758234566,0.0013761149753054856,7.0
0.11499999999999987,0.0013698182307600832,0.0007745360015998336,0.0019651004599203327,7.0
0.13499999999999984,0.001675633663747579,0.0008620952309861456,0.002489172096509012,7.0
0.15499999999999986,0.0021597318950774135,0.0009827546267001655,0.0033367091634546615,7.0
0.17499999999999988,0.0027634238902335814,0.0011583254284409225,0.00436852235202624,7.0
0.19499999999999984,0.0035187656671114265,0.001507993242447664,0.005529538091775189,7.0
0.2149999999999998,0.00423577681609119,0.001984281317070953,0.006487272315111428,7.0
0.23499999999999982,0.0048511096496798994,0.0022827785492335957,0.007419440750126204,7.0
0.25499999999999984,0.0052657438785157955,0.0024279666123809855,0.008103521144650606,7.0
0.2749999999999998,0.005353515395478256,0.002356340485239891,0.00835069030571662,7.0
0.29499999999999976,0.005439412482202797,0.00240009557012313,0.008478729394282465,7.0
0.3149999999999998,0.005378343704061079,0.002340102820406388,0.00841658458771577,7.0
0.3349999999999998,0.0051150730469125055,0.002053180542856314,0.008176965550968697,7.0
0.3549999999999998,0.0045930463558907135,0.0014744620028953204,0.007711630708886107,7.0
0.3749999999999997,0.003997541990032241,0.0009318148994337861,0.007063269080630697,7.0
0.39499999999999974,0.0033975814654525127,0.0007066558100529037,0.006088507120852122,7.0
0.41499999999999976,0.0029923904890939786,0.0005812824915063285,0.005403498486681629,7.0
0.43499999999999966,0.0027353359691556127,0.000514515981011729,0.004956155957299497,7.0
0.4549999999999997,0.0025073910478294837,0.0005116734618187254,0.004503108633840242,7.0
0.4749999999999997,0.002246768497747096,0.0005417229414179916,0.0039518140540762,7.0
0.4949999999999997,0.001995219266525066,0.00042995395609667737,0.0035604845769534542,7.0
0.5149999999999997,0.0018696680133498376,0.0004016732754076567,0.0033376627512920185,7.0
0.5349999999999996,0.0017862916324374368,0.00039911458657934857,0.0031734686782955253,7.0
0.5549999999999996,0.0016824649383581727,0.0004306775991567162,0.002934252277559629,7.0
0.5749999999999996,0.0014845923999210497,0.00041334335893512147,0.002555841440906978,7.0
0.5949999999999995,0.001278393045231684,0.0004525201252226388,0.002104265965240729,7.0
0.6149999999999995,0.0010536794195810978,0.0004710741485381423,0.0016362846906240532,7.0
0.6349999999999996,0.0009410990741218537,0.0005202337071738115,0.0013619644410698957,7.0
0.6549999999999996,0.0009150747552658024,0.0005049926682602814,0.0013251568422713233,7.0
0.6749999999999996,0.0007071182702664844,0.0003711426003675867,0.001043093940165382,7.0
0.6949999999999995,0.0005693273095501016,0.00026751521275781377,0.0008711394063423894,7.0
0.7149999999999995,0.00046842570837267287,0.000174161181993697,0.0007626902347516488,7.0
