t,C_mu,C_lo,C_hi,nC
-0.16499999999999998,0.0006408806364049119,0.00043709559983783124,0.0008446656729719925,7.0
-0.14500000000000002,0.0007380986603773307,0.0005473979561260374,0.000928799364628624,7.0
-0.125,0.0008554088246553036,0.0007072267571701213,0.0010035908921404858,7.0
-0.10500000000000002,0.0009787667988587643,0.0008413824819232223,0.0011161511157943063,7.0
-0.08500000000000003,0.001136251117756114,0.0009386757084487406,0.0013338265270634872,7.0
-0.06500000000000004,0.00111221133384725,0.0008542659728039634,0.0013701566948905368,7.0
-0.045000000000000054,0.0011107206299181634,0.0007886416562982439,0.0014327996035380828,7.0
-0.025000000000000064,0.0011074860474483146,0.0007548838097130987,0.0014600882851835304,7.0
-0.005000000000000074,0.0010466953878554158,0.0006948861927010175,0.001398504583009814,7.0
0.014999999999999916,0.0011655428343703038,0.0006566367372868772,0.0016744489314537304,7.0
0.034999999999999906,0.0014046624607889039,0.0005954999481548068,0.0022138249734230007,7.0
0.054999999999999896,0.0018556767156179279,0.0006076048404754957,0.00310374859076036,7.0
0.07499999999999989,0.0024668832158249014,0.0007397047201511005,0.004194061711498703,7.0
0.0949999999999999,0.003410436354574705,0.0012139465044788142,0.0056069262046705955,7.0
0.11499999999999987,0.0045817822947011545,0.0018427454712754512,0.007320819118126858,7.0
0.13499999999999984,0.006264422142421189,0.0025933506082138546,0.009935493676628524,7.0
0.15499999999999986,0.00843169764086394,0.0037156195653221032,0.013147775716405777,7.0
0.17499999999999988,0.01031692641738391,0.004702414085192044,0.015931438749575776,7.0
0.19499999999999984,0.012265379607924388,0.005395787511095461,0.019134971704753315,7.0
0.2149999999999998,0.013769700150392685,0.005910987735882587,0.021628412564902784,7.0
0.23499999999999982,0.014632128184402982,0.00632555581404178,0.022938700554764185,7.0
0.25499999999999984,0.015221373617462512,0.006597458879463811,0.023845288355461212,7.0
0.2749999999999998,0.015137055667713869,0.006514388239937878,0.02375972309548986,7.0
0.29499999999999976,0.014163670313570043,0.006058928014205364,0.02226841261293472,7.0
0.3149999999999998,0.012630396528886614,0.005412499658956684,0.019848293398816545,7.0
0.3349999999999998,0.011100953377358499,0.004857770598885948,0.01734413615583105,7.0
0.3549999999999998,0.009211334334542895,0.004295388461549425,0.014127280207536366,7.0
0.3749999999999997,0.007429837865273739,0.0035678622904410724,0.011291813440106406,7.0
0.39499999999999974,0.005986454441569872,0.0028830383626987457,0.009089870520441,7.0
0.41499999999999976,0.004449434378286516,0.0020897407279805397,0.006809128028592492,7.0
0.43499999999999966,0.0033470061578359253,0.0014837297108978571,0.005210282604773993,7.0
0.4549999999999997,0.0026093086123512195,0.001126901589820614,0.004091715634881825,7.0
0.4749999999999997,0.0020545822394429274,0.0009614626394110176,0.003147701839474837,7.0
0.4949999999999997,0.001608520015888506,0.000827447233732314,0.002389592798044698,7.0
0.5149999999999997,0.0013546496107407443,0.0006676524035613881,0.0020416468179201004,7.0
0.5349999999999996,0.0013216012471044323,0.0006595133460918847,0.00198368914811698,7.0
0.5549999999999996,0.0014667053004469963,0.0008935309442283114,0.002039879656665681,7.0
0.5749999999999996,0.0016186002312612365,0.0009726707892515847,0.002264529673270888,7.0
0.5949999999999995,0.001757006834286624,0.0010012574962610763,0.0025127561723121716,7.0
0.6149999999999995,0.0018742023889283927,0.0009941529498680149,0.0027542518279887705,7.0
0.6349999999999996,0.0018528302435660189,0.0008785842789427384,0.0028270762081892995,7.0
0.6549999999999996,0.0018380375256367902,0.0008733358702152851,0.0028027391810582954,7.0
0.6749999999999996,0.0016766439923631023,0.0007642256231324434,0.002589062361593761,7.0
0.6949999999999995,0.0014124960537677867,0.0006121459843752183,0.0022128461231603553,7.0
0.7149999999999995,0.0010796565710144725,0.0004262064317634315,0.0017331067102655134,7.0
