t,C_mu,C_lo,C_hi,nC
-0.16499999999999998,0.000849979954402694,0.0005542965602215524,0.0011456633485838355,7.0
-0.14500000000000002,0.001103185298479001,0.0007108420607376345,0.0014955285362203677,7.0
-0.125,0.001316702674497924,0.0008078216500986098,0.0018255836988972382,7.0
-0.10500000000000002,0.0015634601395186358,0.0009409704037683691,0.0021859498752689025,7.0
-0.08500000000000003,0.0017249651312502758,0.0010711859787723983,0.0023787442837281533,7.0
-0.06500000000000004,0.0016691859458743098,0.0009379489875373708,0.0024004229042112486,7.0
-0.045000000000000054,0.0016078219170881796,0.0008452270720086066,0.0023704167621677527,7.0
-0.025000000000000064,0.0015211568667992655,0.0008427239828320993,0.0021995897507664317,7.0
-0.005000000000000074,0.0014450061627329484,0.0008514439928848492,0.0020385683325810475,7.0
0.014999999999999916,0.0014215360082426684,0.0008462273930604565,0.0019968446234248805,7.0
0.034999999999999906,0.0017014582874274049,0.0008709000218708146,0.002532016552983995,7.0
0.054999999999999896,0.0020879006176504865,0.000832569695631205,0.003343231539669768,7.0
0.07499999999999989,0.0028001427449249232,0.0009592687286971479,0.004641016761152699,7.0
0.0949999999999999,0.003916504360982854,0.0013271433408446162,0.006505865381121093,7.0
0.11499999999999987,0.0058506917227655305,0.0020562524848103114,0.00964513096072075,7.0
0.13499999999999984,0.008027668726275198,0.0028089782100759316,0.013246359242474463,7.0
0.15499999999999986,0.010720496164281878,0.00370556199121096,0.017735430337352795,7.0
0.17499999999999988,0.013501569346782424,0.004461675764442997,0.02254146292912185,7.0
0.19499999999999984,0.016226321600991234,0.0049829984818439595,0.02746964472013851,7.0
0.2149999999999998,0.01880804979542073,0.005427540218029376,0.032188559372812085,7.0
0.23499999999999982,0.020903290043206877,0.005719297773170803,0.03608728231324295,7.0
0.25499999999999984,0.021939331364024605,0.005707639281932596,0.038171023446116614,7.0
0.2749999999999998,0.02163494637546482,0.005353647733967931,0.03791624501696171,7.0
0.29499999999999976,0.020595070097506323,0.004893638182712226,0.03629650201230042,7.0
0.3149999999999998,0.018588087721402736,0.004086955456879263,0.033089219985926205,7.0
0.3349999999999998,0.01613550975716268,0.003455522904536705,0.028815496609788653,7.0
0.3549999999999998,0.013316578923134495,0.002807207336122587,0.023825950510146403,7.0
0.3749999999999997,0.010511804387666917,0.0023343452362117444,0.018689263539122092,7.0
0.39499999999999974,0.007886525222519772,0.0016914983702178508,0.014081552074821693,7.0
0.41499999999999976,0.005997455871973422,0.0013603613650088296,0.010634550378938014,7.0
0.43499999999999966,0.004594497541409326,0.0010988175860386904,0.008090177496779961,7.0
0.4549999999999997,0.0036916351388708067,0.0011672574928130856,0.006216012784928528,7.0
0.4749999999999997,0.0031910767020254657,0.001455290202417871,0.00492686320163306,7.0
0.4949999999999997,0.002935622303750506,0.0016210317843037125,0.004250212823197299,7.0
0.5149999999999997,0.0028224172599577227,0.0017663594387975824,0.003878475081117863,7.0
0.5349999999999996,0.0026152618399365,0.0016196926930036341,0.0036108309868693655,7.0
0.5549999999999996,0.0024289788912475905,0.001479139172335929,0.003378818610159252,7.0
0.5749999999999996,0.0021709030832556503,0.0012334357068514111,0.003108370459659889,7.0
0.5949999999999995,0.001977785234761613,0.0010024725494496573,0.0029530979200735686,7.0
0.6149999999999995,0.0018100487974429815,0.000894693769932263,0.0027254038249537,7.0
0.6349999999999996,0.001675910573719316,0.0008414388470439874,0.0025103823003946447,7.0
0.6549999999999996,0.0015715884007179433,0.0007740493332066835,0.002369127468229203,7.0
0.6749999999999996,0.0012855323691264417,0.0005451843156743889,0.0020258804225784946,7.0
0.6949999999999995,0.00108253433494195,0.00048244601477227074,0.0016826226551116294,7.0
0.7149999999999995,0.0009251090819857794,0.00041405164214600263,0.0014361665218255563,7.0
