t,mean_diff,ci_lo,ci_hi,null_mu_mean,p_display,sig,frac_sig_sessions,p_meta,fdr_sig
-0.16499999999999998,0.00040386810106101626,0.00013374649598187202,0.0006739897061401605,-3.5207907744681814e-05,0.2213814986575543,0,0.0,0.20077312776813297,0
-0.14500000000000002,0.0006486629150147624,0.00024423566335716996,0.0010530901666723548,-3.9176958479991114e-05,0.14596045887234563,0,0.0,0.14081322360263604,0
-0.125,0.0007772689780436267,0.0002566738006543037,0.0012978641554329496,-4.020903710594023e-05,0.1300951916036124,0,0.14285714285714285,0.12493205168775184,0
-0.10500000000000002,0.0006804785017382001,5.456594137997421e-05,0.0013063910620964262,-3.5414325426892116e-05,0.1891628020502807,0,0.14285714285714285,0.19453548162591447,0
-0.08500000000000003,0.0007069263129537994,7.386484156697115e-06,0.0014064661417509017,-3.9021990677061034e-05,0.1952648279228704,0,0.14285714285714285,0.1851862716498529,0
-0.06500000000000004,0.0005724018581724172,-0.00019080867546552595,0.0013356123918103603,-4.128496875394455e-05,0.2418843055894557,0,0.0,0.23446088432482592,0
-0.045000000000000054,0.00036971820655557,-0.00040604604340409696,0.001145482456515237,-4.591125661882459e-05,0.3165731022699536,0,0.0,0.2909073753872564,0
-0.025000000000000064,0.0004257679028921161,-0.00031560185597923567,0.001167137661763468,-4.227977127620997e-05,0.29216499877959484,0,0.0,0.2816653122998882,0
-0.005000000000000074,0.00055024686434869,-0.00011063505919545408,0.001211128787892834,-2.0930127153807633e-05,0.25091530388088845,0,0.0,0.23581922703166736,0
0.014999999999999916,0.0006199548098193945,-6.39250948609979e-05,0.0013038347144997868,1.428842844539184e-05,0.23968757627532342,0,0.0,0.21574630952435497,0
0.034999999999999906,0.0011242593344554434,0.00017311649440566697,0.00207540217450522,-3.631705644858918e-05,0.09836465706614596,0,0.14285714285714285,0.7146370917074294,0
0.054999999999999896,0.001798816432339224,0.0004010795329755087,0.0031965533317029394,-0.00017939412470687635,0.022699536246033682,1,0.14285714285714285,0.697041553739191,0
0.07499999999999989,0.0024876704745180438,0.000717115105154443,0.004258225843881644,-0.0004658335578011202,0.004637539663168172,1,0.2857142857142857,0.953165839242181,0
0.0949999999999999,0.002885012931820711,0.0007977233230830045,0.004972302540558417,-0.0008838554541584169,0.001464486209421528,1,0.2857142857142857,0.9767781720423602,0
0.11499999999999987,0.003727316833469127,0.0010810590750250605,0.006373574591913194,-0.0013359545280206286,0.000488162069807176,1,0.2857142857142857,0.9608022637192911,0
0.13499999999999984,0.0046551815419633505,0.0010316978100466693,0.00827866527388003,-0.0013827169725480484,0.000488162069807176,1,0.2857142857142857,0.5269519882474621,0
0.15499999999999986,0.0060170792628078855,0.0013620935537583343,0.010672064971857437,-0.0010004918231921623,0.000488162069807176,1,0.14285714285714285,0.5571105188466418,0
0.17499999999999988,0.007430337469968378,0.0014613376506228942,0.013399337289313862,-0.0006314829516821246,0.000488162069807176,1,0.14285714285714285,0.5880345771887995,0
0.19499999999999984,0.00939300410737849,0.0022708101089690055,0.016515198105787974,-9.375463773887955e-05,0.000244081034903588,1,0.14285714285714285,0.5407134073766058,0
0.2149999999999998,0.010920095279983806,0.00283746181292336,0.019002728747044253,0.0006628302059609106,0.000244081034903588,1,0.14285714285714285,0.5871995103383912,0
0.23499999999999982,0.01217526285544101,0.0032163628733183347,0.021134162837563687,0.0014567761798776836,0.000244081034903588,1,0.14285714285714285,0.5591895188593855,0
0.25499999999999984,0.013232868553128479,0.0040239894830557555,0.022441747623201204,0.0020832736559667445,0.000244081034903588,1,0.2857142857142857,0.4712275343536432,0
0.2749999999999998,0.013505660256860912,0.00451091861235149,0.022500401901370336,0.0027150848419264023,0.000244081034903588,1,0.2857142857142857,0.37831337099393925,0
0.29499999999999976,0.012486321110112967,0.004215912088430274,0.02075673013179566,0.0027679373590277926,0.000244081034903588,1,0.2857142857142857,0.33248707015658263,0
0.3149999999999998,0.010764661939782877,0.0032139121704821806,0.018315411709083573,0.002369487803734517,0.000488162069807176,1,0.42857142857142855,0.8660753263918846,0
0.3349999999999998,0.00866116026051208,0.002215230747852395,0.015107089773171765,0.001960876712005744,0.000732243104710764,1,0.42857142857142855,0.9053858883494776,0
0.3549999999999998,0.00588593521444296,0.0005696439452031058,0.011202226483682815,0.0014703184686578245,0.00732243104710764,1,0.42857142857142855,0.9702435436964274,0
0.3749999999999997,0.003807747785515153,-0.0004811593656764857,0.008096654936706792,0.0008234856092138214,0.03295093971198438,1,0.2857142857142857,0.9785711246863237,0
0.39499999999999974,0.002026980735717494,-0.0012105345295002961,0.005264496000935284,0.00030484555390934497,0.11935562606785453,0,0.2857142857142857,0.9696729007339884,0
0.41499999999999976,0.0008841379021395473,-0.0013461965894269183,0.0031144723937060127,9.50980879927071e-05,0.2733707590920185,0,0.14285714285714285,0.22322426168802564,0
0.43499999999999966,-6.314633673421792e-05,-0.0016830255375741955,0.0015567328641057595,-8.402433771625173e-05,0.4842567732487186,0,0.0,0.4579536747999325,0
0.4549999999999997,9.158467315441758e-05,-0.0011230247060327121,0.0013061940523415474,-9.897041667277209e-05,0.4266536490114718,0,0.0,0.4510674523142998,0
0.4749999999999997,0.00013662396544063967,-0.0009549698485600545,0.001228217779441334,-9.158475368762615e-05,0.41152062484744933,0,0.0,0.4339156404308817,0
0.4949999999999997,0.0004026830643695623,-0.000809713386787537,0.0016150795155266615,-8.95463829273534e-05,0.30998291432755676,0,0.0,0.3528696439956076,0
