feature,band_start,band_end,I_fwd,I_rev,I_diff,pID_diff,mean_S_fwd_band,mean_S_rev_band,mean_S_diff_band,mean_zrob_fwd_band,mean_zrob_rev_band,mean_zrob_diff_band,mean_zfromp_fwd_band,mean_zfromp_rev_band,mean_zfromp_diff_band,mean_cles_fwd_band,mean_cles_rev_band,mean_cles_diff_band,frac_sig_diff_band,mean_S_fwd_all,mean_S_rev_all,mean_S_diff_all,mean_zrob_fwd_all,mean_zrob_rev_all,mean_zrob_diff_all,mean_zfromp_fwd_all,mean_zfromp_rev_all,mean_zfromp_diff_all,mean_cles_fwd_all,mean_cles_rev_all,mean_cles_diff_all,frac_sig_diff_all
C,0.12,0.28,0.0022830938407237566,0.0004406809455228687,0.0018424128952008877,0.03592814371257485,2.614969706497081,0.5227867583971499,3.0680960986769783,1.7844268110263433,-0.4682803644755063,1.5008178832265884,0.8277097250143156,-0.700004891807608,0.590729272303439,0.7375249500998005,0.27944111776447106,0.8253493013972055,0.125,1.8972405789101767,0.916049800176075,2.0832584001132814,0.9508460365443288,-0.08580856057612059,0.6784225840749585,0.4148535080711285,-0.33436127012081013,0.31983698783451,0.5937014859170548,0.37072521623419824,0.6475493457529385,0.08888888888888889
R,0.12,0.28,0.021972816747805306,0.01892259678309639,0.0030502199647089168,0.25948103792415167,8.367747427938008,6.875562563507765,2.927818451655849,4.576078329766176,4.090056673936912,0.5914078972404302,-2.7350583054169997,-1.411966703839307,0.5580363044685237,0.9957584830339321,0.9865269461077844,0.657185628742515,0.25,5.446923068565383,5.195307536694107,1.7024434566789606,2.865407693491535,2.8781636541980964,0.1694929054164347,-0.8407310060402049,-1.0014949356217033,0.15248409997864343,0.8589487691284099,0.8181414947882012,0.5462852073630515,0.06666666666666667
