t_ms,mean_S_AtoB,lo_S_AtoB,hi_S_AtoB,mean_S_BtoA,lo_S_BtoA,hi_S_BtoA,n_AtoB,n_BtoA,label_AtoB,label_BtoA
-164.99999999999997,1.469503321609784,1.1064518089443158,1.832554834275252,2.128716960142496,1.3413619964074395,2.9160719238775528,11,11,LIP → FEF,FEF → LIP
-145.00000000000003,1.4922337865297428,1.1525428937500974,1.8319246793093882,2.189368613134095,1.519275558144523,2.859461668123667,11,11,LIP → FEF,FEF → LIP
-125.0,1.3627042849603248,1.0821522455024373,1.6432563244182123,2.034022959973643,1.4204769226826754,2.6475689972646106,11,11,LIP → FEF,FEF → LIP
-105.00000000000003,1.3721612643935293,1.0258282434978887,1.7184942852891698,3.3926347113008237,2.391076948950542,4.394192473651105,11,11,LIP → FEF,FEF → LIP
-85.00000000000003,1.9619908193683864,1.4669486824730429,2.45703295626373,3.0820347095472824,2.21086994440966,3.953199474684905,11,11,LIP → FEF,FEF → LIP
-65.00000000000004,1.704850539307521,1.2705973154390557,2.1391037631759864,2.764886962982548,2.0872982088153,3.4424757171497964,11,11,LIP → FEF,FEF → LIP
-45.00000000000006,2.305634457065132,1.6717924738874994,2.9394764402427644,3.5330042956932513,2.668974765349506,4.3970338260369966,11,11,LIP → FEF,FEF → LIP
-25.000000000000064,2.3876100143274654,1.8946011243220835,2.8806189043328474,3.27035800173882,2.5579411914507153,3.982774812026925,11,11,LIP → FEF,FEF → LIP
-5.000000000000074,2.8146171687126342,2.188313092396535,3.4409212450287336,3.107403582773973,2.4935956068785528,3.7212115586693937,11,11,LIP → FEF,FEF → LIP
14.999999999999917,2.088554690855501,1.7325455580798426,2.4445638236311593,3.391670074594152,2.6525243727282937,4.13081577646001,11,11,LIP → FEF,FEF → LIP
34.99999999999991,2.6624014048429157,1.9852040967652267,3.339598712920605,2.322972331407685,1.8856177794543818,2.760326883360988,11,11,LIP → FEF,FEF → LIP
54.99999999999989,2.6466085596615883,1.7747954586642811,3.5184216606588956,2.1253198305510708,1.580019478962031,2.6706201821401105,11,11,LIP → FEF,FEF → LIP
