sid,A,B,IC,pIC,IR,pIR,win,step,k,ridge,int_win,perms,bandC_start,bandC_end,bandR_start,bandR_end,no_x0,cond_b_only,pt_cov,evoked_sigma_ms
20201211,MFEF,MLIP,0.12528142663671665,0.09181636726546906,0.009684335245974996,0.6087824351297405,0.16,0.02,2,0.01,0.16,500,0.12,0.28,0.08,0.2,True,True,False,10.0
20201211,MFEF,MSC,0.150730768329349,0.05788423153692615,0.011860597823384124,0.22355289421157684,0.16,0.02,2,0.01,0.16,500,0.12,0.28,0.08,0.2,True,True,False,10.0
20201211,MLIP,MFEF,0.0874511126446731,0.35728542914171657,0.011982644969241531,0.3992015968063872,0.16,0.02,2,0.01,0.16,500,0.12,0.28,0.08,0.2,True,True,False,10.0
20201211,MLIP,MSC,0.09893295937349807,0.003992015968063872,0.014756544553365353,0.1596806387225549,0.16,0.02,2,0.01,0.16,500,0.12,0.28,0.08,0.2,True,True,False,10.0
20201211,MSC,MFEF,0.10288384066854905,0.15768463073852296,0.02327733804072633,0.005988023952095809,0.16,0.02,2,0.01,0.16,500,0.12,0.28,0.08,0.2,True,True,False,10.0
20201211,MSC,MLIP,0.0567137494334394,0.43313373253493015,0.006358605747095747,0.936127744510978,0.16,0.02,2,0.01,0.16,500,0.12,0.28,0.08,0.2,True,True,False,10.0
