sid,monkey,align,feature,A,B,mean_flow_fwd,mean_flow_rev,mean_S_fwd,mean_S_rev,mean_diff,n_time
20200327,M,stim,C,MFEF,MLIP,4.378351541990764,3.819174676127659,1.9026955380328807,1.5409796042179429,0.5591768658631053,105
20200328,M,stim,C,MFEF,MLIP,4.484330358253706,4.824605108509503,1.8306731152295586,2.0692031620715876,-0.34027475025579695,105
20200401,M,stim,C,MFEF,MLIP,4.558323877711701,4.137159901585663,1.915426185462263,1.67299833515873,0.42116397612603906,105
20200402,M,stim,C,MFEF,MLIP,3.964266535675262,3.941471916037416,1.5830351553398763,1.5473074003895917,0.0227946196378457,105
20200926,M,stim,C,MFEF,MLIP,3.6296686587634883,3.99043390606261,1.4142654081821266,1.5455152221881803,-0.360765247299122,105
20200929,M,stim,C,MFEF,MLIP,4.935071314235706,4.685946528374901,2.168350885055643,1.9779376955590293,0.24912478586080533,105
20201001,M,stim,C,MFEF,MLIP,4.39374074253142,4.136556770008139,1.8473788974112617,1.6873226272929025,0.2571839725232801,105
20201004,M,stim,C,MFEF,MLIP,4.0987615693775465,3.900023235376653,1.6465345290007252,1.531900495840495,0.19873833400089339,105
20201204,M,stim,C,MFEF,MLIP,6.47156907373124,4.234561199630951,2.845898662463636,1.6946546806569571,2.2370078741002883,105
20201211,M,stim,C,MFEF,MLIP,7.541442011223177,5.52681746990804,3.3505615496013847,2.5275296603331427,2.014624541315138,105
20201216,M,stim,C,MFEF,MLIP,3.8123420450437795,3.430067021013863,1.4731959986751733,1.2592628637167922,0.3822750240299163,105
20200926,M,stim,C,MFEF,MSC,4.750392079645362,3.8587656106300154,2.0474710366531914,1.5359287399976562,0.8916264690153466,105
20200929,M,stim,C,MFEF,MSC,4.413576447542869,4.297057660606614,1.913379581535518,1.781146849067245,0.11651878693625545,105
20201001,M,stim,C,MFEF,MSC,4.618621207276883,3.872344007184406,1.9389357969225562,1.5624540981651243,0.7462772000924758,105
20201004,M,stim,C,MFEF,MSC,3.726716632711263,3.7504629345334717,1.4315598615237584,1.4409465448667822,-0.02374630182220832,105
20201204,M,stim,C,MFEF,MSC,4.09417662955262,3.568051677296554,1.6843324514875122,1.2890820631400282,0.5261249522560657,105
20201211,M,stim,C,MFEF,MSC,8.345394597739407,5.452574731664185,3.487503446821287,2.568612193967169,2.892819866075221,105
20201216,M,stim,C,MFEF,MSC,3.6679563025894293,3.6390971341233405,1.4215876303864499,1.3958051956908175,0.02885916846608894,105
20200327,M,stim,C,MLIP,MFEF,3.819174676127659,4.378351541990764,1.5051479931709875,1.890999113397992,-0.5591768658631053,105
20200328,M,stim,C,MLIP,MFEF,4.824605108509503,4.484330358253706,2.1070996664873705,1.8331946652881501,0.34027475025579695,105
20200401,M,stim,C,MLIP,MFEF,4.137159901585663,4.558323877711701,1.666139079182553,1.947731708628333,-0.42116397612603906,105
