sid	area	axis_type	win_start	win_end	beta_C	beta_O	beta_CO	R2	n_trials
20230705	SFEF	C_pool	0.100	0.300	0.249462	-0.005316	-0.037733	0.375587	1143
20230705	SFEF	O_pool	0.100	0.300	-0.029498	0.684618	0.017213	0.759786	1143
20230705	SFEF	C_vert	0.100	0.300	0.208597	-0.115817	0.040340	0.306149	1143
20230705	SFEF	C_horiz	0.100	0.300	0.244630	-0.125089	-0.097426	0.392646	1143
20230707	SFEF	C_pool	0.100	0.300	0.268613	-0.007207	-0.002242	0.413943	1306
20230707	SFEF	O_pool	0.100	0.300	-0.060837	0.329977	-0.021509	0.617133	1306
20230707	SFEF	C_vert	0.100	0.300	0.232949	-0.050501	0.025779	0.408167	1306
20230707	SFEF	C_horiz	0.100	0.300	0.280168	-0.071657	-0.019073	0.395075	1306
20230710	SFEF	C_pool	0.100	0.300	0.093585	-0.006350	-0.023063	0.130051	1176
20230710	SFEF	O_pool	0.100	0.300	-0.011611	0.477293	0.001517	0.601020	1176
20230710	SFEF	C_vert	0.100	0.300	0.062494	-0.022187	0.054781	0.068502	1176
20230710	SFEF	C_horiz	0.100	0.300	0.074664	-0.005860	-0.060771	0.140902	1176
20231025	SFEF	C_pool	0.100	0.300	0.159882	-0.009387	0.015544	0.281422	1209
20231025	SFEF	O_pool	0.100	0.300	-0.054028	0.621532	-0.027275	0.722002	1209
20231025	SFEF	C_vert	0.100	0.300	0.160061	-0.064888	0.027831	0.305135	1209
20231025	SFEF	C_horiz	0.100	0.300	0.153731	-0.079780	-0.004606	0.263403	1209
20231103	SFEF	C_vert	0.100	0.300	0.140102	0.015220	0.044241	0.202645	1160
20231109	SFEF	C_pool	0.100	0.300	0.261751	-0.006319	0.047133	0.309602	1187
20231109	SFEF	O_pool	0.100	0.300	-0.045120	0.439287	-0.016593	0.564580	1187
20231109	SFEF	C_vert	0.100	0.300	0.260662	-0.057185	0.074269	0.313339	1187
20231109	SFEF	C_horiz	0.100	0.300	0.236033	-0.026934	0.000855	0.266529	1187
20231121	SFEF	C_pool	0.100	0.300	0.247575	0.078963	0.047848	0.325304	1188
20231121	SFEF	O_pool	0.100	0.300	0.069431	0.743685	0.032941	0.776371	1188
20231121	SFEF	C_vert	0.100	0.300	0.243482	0.192805	0.081197	0.397963	1188
20231121	SFEF	C_horiz	0.100	0.300	0.221407	0.106143	0.003019	0.307187	1188
20231123	SFEF	C_pool	0.100	0.300	0.324584	-0.005747	0.085520	0.515250	1193
20231123	SFEF	O_pool	0.100	0.300	-0.038344	1.001251	-0.075928	0.821009	1193
20231123	SFEF	C_vert	0.100	0.300	0.297551	-0.085153	0.113576	0.549928	1193
20231123	SFEF	C_horiz	0.100	0.300	0.275526	0.031266	0.011232	0.414813	1193
20231130	SFEF	C_pool	0.100	0.300	0.134358	0.035107	0.027824	0.224650	1304
20231130	SFEF	O_pool	0.100	0.300	-0.087648	0.351581	0.023734	0.503033	1304
20231130	SFEF	C_vert	0.100	0.300	0.127679	-0.011281	0.038531	0.203641	1304
20231205	SFEF	C_pool	0.100	0.300	0.344916	0.139535	0.051675	0.507925	1178
20231205	SFEF	O_pool	0.100	0.300	-0.156682	0.614027	0.000636	0.676864	1178
20231205	SFEF	C_vert	0.100	0.300	0.461689	-0.012844	0.093451	0.439649	1178
20231205	SFEF	C_horiz	0.100	0.300	0.253511	0.245224	0.017200	0.451882	1178
