sid,pair,file
20200327,MFEF->MLIP,flow_timeseriesINT_MFEFtoMLIP.npz
20200328,MFEF->MLIP,flow_timeseriesINT_MFEFtoMLIP.npz
20200401,MFEF->MLIP,flow_timeseriesINT_MFEFtoMLIP.npz
20200402,MFEF->MLIP,flow_timeseriesINT_MFEFtoMLIP.npz
20200926,MFEF->MLIP,flow_timeseriesINT_MFEFtoMLIP.npz
20200929,MFEF->MLIP,flow_timeseriesINT_MFEFtoMLIP.npz
20201001,MFEF->MLIP,flow_timeseriesINT_MFEFtoMLIP.npz
20201004,MFEF->MLIP,flow_timeseriesINT_MFEFtoMLIP.npz
20201204,MFEF->MLIP,flow_timeseriesINT_MFEFtoMLIP.npz
20201211,MFEF->MLIP,flow_timeseriesINT_MFEFtoMLIP.npz
20201216,MFEF->MLIP,flow_timeseriesINT_MFEFtoMLIP.npz
20200926,MFEF->MSC,flow_timeseriesINT_MFEFtoMSC.npz
20200929,MFEF->MSC,flow_timeseriesINT_MFEFtoMSC.npz
20201001,MFEF->MSC,flow_timeseriesINT_MFEFtoMSC.npz
20201004,MFEF->MSC,flow_timeseriesINT_MFEFtoMSC.npz
20201204,MFEF->MSC,flow_timeseriesINT_MFEFtoMSC.npz
20201211,MFEF->MSC,flow_timeseriesINT_MFEFtoMSC.npz
20201216,MFEF->MSC,flow_timeseriesINT_MFEFtoMSC.npz
20200327,MLIP->MFEF,flow_timeseriesINT_MLIPtoMFEF.npz
20200328,MLIP->MFEF,flow_timeseriesINT_MLIPtoMFEF.npz
20200401,MLIP->MFEF,flow_timeseriesINT_MLIPtoMFEF.npz
20200402,MLIP->MFEF,flow_timeseriesINT_MLIPtoMFEF.npz
20200926,MLIP->MFEF,flow_timeseriesINT_MLIPtoMFEF.npz
20200929,MLIP->MFEF,flow_timeseriesINT_MLIPtoMFEF.npz
20201001,MLIP->MFEF,flow_timeseriesINT_MLIPtoMFEF.npz
20201004,MLIP->MFEF,flow_timeseriesINT_MLIPtoMFEF.npz
20201204,MLIP->MFEF,flow_timeseriesINT_MLIPtoMFEF.npz
20201211,MLIP->MFEF,flow_timeseriesINT_MLIPtoMFEF.npz
20201216,MLIP->MFEF,flow_timeseriesINT_MLIPtoMFEF.npz
20200926,MLIP->MSC,flow_timeseriesINT_MLIPtoMSC.npz
20200929,MLIP->MSC,flow_timeseriesINT_MLIPtoMSC.npz
20201001,MLIP->MSC,flow_timeseriesINT_MLIPtoMSC.npz
20201004,MLIP->MSC,flow_timeseriesINT_MLIPtoMSC.npz
20201204,MLIP->MSC,flow_timeseriesINT_MLIPtoMSC.npz
20201211,MLIP->MSC,flow_timeseriesINT_MLIPtoMSC.npz
20201216,MLIP->MSC,flow_timeseriesINT_MLIPtoMSC.npz
20200926,MSC->MFEF,flow_timeseriesINT_MSCtoMFEF.npz
20200929,MSC->MFEF,flow_timeseriesINT_MSCtoMFEF.npz
20201001,MSC->MFEF,flow_timeseriesINT_MSCtoMFEF.npz
20201004,MSC->MFEF,flow_timeseriesINT_MSCtoMFEF.npz
20201204,MSC->MFEF,flow_timeseriesINT_MSCtoMFEF.npz
20201211,MSC->MFEF,flow_timeseriesINT_MSCtoMFEF.npz
20201216,MSC->MFEF,flow_timeseriesINT_MSCtoMFEF.npz
20200926,MSC->MLIP,flow_timeseriesINT_MSCtoMLIP.npz
20200929,MSC->MLIP,flow_timeseriesINT_MSCtoMLIP.npz
20201001,MSC->MLIP,flow_timeseriesINT_MSCtoMLIP.npz
20201004,MSC->MLIP,flow_timeseriesINT_MSCtoMLIP.npz
20201204,MSC->MLIP,flow_timeseriesINT_MSCtoMLIP.npz
20201211,MSC->MLIP,flow_timeseriesINT_MSCtoMLIP.npz
20201216,MSC->MLIP,flow_timeseriesINT_MSCtoMLIP.npz
